id_entrance;meetcode;name_ru;name_en;id_station;direction;lat;lon;max_width;min_step;min_step_ramp;lift;lift_minus_step;min_rail_width;max_rail_width;max_angle;escalator;time
90000;1;Де Булелан;De Boelelaan;28;both;52.33489751;4.868833114;2000;5;0;0;0;0;0;2;0;65
90010;2;Арент Янсзон Эрнстстрат;Arent Janszoon Ernststraat;28;both;52.33380416;4.868852638;2000;6;6;0;0;0;0;2;0;66
90020;1;Арент Янсзон Эрнстстрат;Arent Janszoon Ernststraat;29;both;52.33192706;4.868883319;2000;5;0;0;0;0;0;2;0;65
90030;2;Канненбург;Cannenburg;29;both;52.33084486;4.86888053;2000;6;6;0;0;0;0;2;0;66
90040;1;Звансвлит, Кастеленстрат;Zvaansvliet, Kastelenstraat;30;both;52.32573233;4.868964205;2000;6;6;0;0;0;0;2;0;66
90050;2;Ван Босхёйзенстрат;Van Boshuizenstraat;30;both;52.32477565;4.869006042;2000;5;0;0;0;0;0;2;0;65
90060;1;Бос эн Вартлан, Эйленстеде;Bos en Vartlaan, Uilenstede;31;both;52.32159322;4.869159446;2000;30;30;1;30;0;0;0;0;90
90070;1;Рембрандтвег, Саскиа ван Эйленбюргвег;Rembrandtweg, Saskia van Uylenburgweg;32;both;52.31607068;4.870531713;2000;5;0;0;0;0;0;3;0;65
90080;1;Зоннестейн;Zonnestein;33;both;52.31199014;4.872350245;2000;5;0;0;0;0;0;3;0;65
90090;1;Розенорд, Люкас ван Лейденвег;Rozenoord, Lucas van Leydenweg;34;both;52.30777293;4.872506438;2000;24;19;1;19;0;0;3;0;84
90100;1;Ораньебан (норд);Oranjebaan (noord);35;both;52.30338;4.872040648;2000;28;28;0;0;0;0;0;0;88
90110;2;Ораньебан (зёйд);Oranjebaan (zuid);35;both;52.30305088;4.87190119;2000;29;24;1;29;0;0;3;0;89
90120;1;Ханделсвег;Handelsweg;36;both;52.30037328;4.870113339;2000;27;27;1;27;0;0;0;0;87
90130;1;Грунелан;Groenelaan;37;both;52.29668322;4.867810887;2000;23;23;1;23;0;0;0;0;83
90140;1;Спортлан;Sportlaan;38;both;52.2903351;4.863805652;2000;6;0;0;0;0;0;3;0;66
90150;1;Стартбан, Марне;Startbaan, Marne;39;both;52.28654184;4.861112718;2000;24;24;1;24;0;0;0;0;84
90160;1;Гондел;Gondel;40;both;52.28445555;4.859535448;2000;9;9;0;0;0;0;0;0;69
90170;2;Богсюттер, Гондел;Boogschutter, Gondel;40;both;52.28412643;4.859066869;2000;6;0;0;0;0;0;2;0;66
90180;1;Гондел, Др Виллем Дресвег;Gondel, Dr Willem Dreesweg;41;both;52.28068739;4.856867616;2000;24;24;1;24;0;0;0;0;84
90190;1;Меркюриус, Де Зон;Mercurius, De Zon;42;both;52.28070134;4.850674286;2000;6;0;0;0;0;0;3;0;66
90200;2;Мелквег, Юпитер, Орион;Melkweg, Jupiter, Orion;42;both;52.28042521;4.852721529;2000;6;6;0;0;0;0;0;0;66
90210;1;Хирюргейн, Велдлюст;Chirurgijn, Veldlust;43;both;52.2833092;4.844902118;2000;6;6;0;0;0;0;3;0;66
90220;2;Портвахтер, Де Эйтвлюгт;Poortwachter, De Uitvlugt;43;both;52.28315859;4.846042885;2000;6;0;0;0;0;0;3;0;66
90230;1;Товслагерей;Towslagerij;44;both;52.28432167;4.837779997;2000;6;6;0;0;0;0;3;0;66
90240;2;Бовенкеркервег;Bovenkerkerweg;44;both;52.28414037;4.839007228;2000;6;0;0;0;0;0;3;0;66
90250;1;Сюзе Робертсонлан;Suze Robertsonlaan;45;both;52.28268443;4.832685596;2000;6;6;0;0;0;0;3;0;66
90260;2;Сахаровлан;Sacharovlaan;45;both;52.28205966;4.832242119;2000;6;0;0;0;0;0;3;0;66
90270;2;Й К  ван Хаттюмвег;J C  van Hattumweg;46;both;52.27415518;4.830381749;2000;6;6;0;0;0;0;3;0;66
90280;1;Бюргеместер Вигелвег;Burgemeester Wiegelweg;46;both;52.27491941;4.830956316;2000;6;0;0;0;0;0;3;0;66
90290;5;Статионсплейн;Stationsplein;14;both;52.32347869;4.936524641;800;76;76;2;76;0;0;0;0;136
90300;1;с поездов;from trains;14;both;52.32372413;4.936368448;800;38;38;1;38;0;0;0;0;98
90310;2;ж/д платформа;train platform;14;both;52.32364604;4.936638997;2000;0;0;0;0;0;0;0;0;60
90320;4;ж/д платформа;train platform;14;both;52.32354842;4.936348924;2000;0;0;0;0;0;0;0;0;60
90330;3;с поездов;from trains;14;both;52.32343406;4.936664099;800;38;38;1;38;0;0;0;0;98
90340;1;Борис Пастернакстрат, Агатха Христисингел;Boris Pasternakstraat, Agatha Christiesingel;15;in;52.3193591;4.940566135;900;0;0;0;0;0;0;0;1;160
90341;1;Борис Пастернакстрат, Агатха Христисингел;Boris Pasternakstraat, Agatha Christiesingel;15;out;52.3193591;4.940566135;900;39;39;0;0;0;0;0;0;99
90350;2;Борис Пастернакстрат, Бюргеместер Страманвег;Boris Pasternakstraat, Burgemeester Stramanweg;15;both;52.31755451;4.942234052;800;39;39;1;39;0;0;0;0;99
90360;1;Стадион;Arena;16;both;52.31220211;4.94712624;800;60;60;1;60;0;0;0;0;120
90370;1;Фоппингадреф;Foppingadreef;17;in;52.30769762;4.951270932;900;0;0;0;0;0;0;0;1;160
90371;1;Фоппингадреф;Foppingadreef;17;out;52.30769762;4.951270932;900;39;39;0;0;0;0;0;0;99
90380;2;Гаспердаммервег;Gaasperdammerweg;17;both;52.30584841;4.952922115;800;39;39;1;39;0;0;0;0;99
90390;1;Ньивегейнлан;Nieuwegeinlaan;18;both;52.29917673;4.959038744;800;39;39;1;39;0;0;0;0;99
90400;2;Мейбергдреф;Meibergdreef;18;both;52.29745303;4.960614619;800;39;39;1;39;0;0;0;0;99
90410;1;Ренкюмхоф, Тефеленстрат;Renkumhof, Tefelenstraat;19;both;52.29528028;4.972383481;800;40;40;1;40;0;0;0;0;100
90420;2;Рейгерсбос;Reigersbos;19;both;52.29592736;4.976021941;800;36;36;1;36;0;0;0;0;96
90430;1;Вестбрукстрат;Westbroekstraat;20;both;52.296329;4.987461682;800;48;48;1;48;0;0;0;0;108
90440;2;Мария Снелплантсун, Ветхаудер де Росплейн;Maria Snelplantsoen, Wethouder de Roosplein;20;both;52.29633179;4.989938457;800;35;35;1;35;0;0;0;0;95
90450;1;Далстейндреф, Бисбос;Dalsteindreef, Biesbosch;47;both;52.32653421;4.945682849;850;32;32;1;32;0;0;0;0;92
90460;1;Димердреф, Далстейндреф, Бергвейкпарк;Diemerdreef, Dalsteindreef, Bergwijkpark;48;both;52.32976825;4.954907997;900;46;46;1;46;0;0;0;0;106
90470;2;Бергвейкдреф;Bergwijkdreef;48;both;52.3307584;4.958029068;900;34;34;1;34;0;0;0;0;94
90480;1;Волмерпад;Volmerpad;49;both;52.32894823;4.966167837;900;34;34;1;34;0;0;0;0;94
90490;1;Бейлмердреф, Проф Йоп ван Стигтпарк;Bijlmerdreef, Prof Joop van Stigtpark;50;both;52.32281487;4.973745289;900;0;0;1;0;0;0;0;0;60
90500;1;Карспелдреф;Karspeldreef;51;both;52.31636354;4.979668768;900;0;0;1;0;0;0;0;0;60
