date, id_station, id_line, cell_cid, cell_lac, cell_hash, geo_location
"1382966841362", "101", "6", "6802425", "6340", "-1", "unknown"
"1382966869784", "101", "6", "6802425", "6340", "-1", "unknown"
"1382966892223", "101", "6", "1020", "7736", "-1", "unknown"
"1382966903111", "101", "6", "10305849", "7736", "-1", "unknown"
"1382967079837", "99", "6", "49565", "26632", "-1", "unknown"
"1382967089777", "100", "6", "49565", "26632", "-1", "unknown"
"1382967098993", "100", "6", "49565", "26632", "-1", "unknown"
"1382967253633", "99", "6", "49566", "26632", "-1", "unknown"
"1382967261096", "99", "6", "49566", "26632", "-1", "unknown"
"1382967283976", "99", "6", "49566", "26632", "-1", "unknown"
"1382967384270", "98", "6", "6899779", "770", "-1", "unknown"
"1382967392980", "98", "6", "6899779", "770", "-1", "unknown"
"1382967401962", "98", "6", "6899779", "770", "-1", "unknown"
"1382967409249", "98", "6", "6899779", "770", "-1", "unknown"
"1382967425981", "98", "6", "6899779", "770", "-1", "unknown"
"1382967436918", "98", "6", "6899779", "770", "-1", "unknown"
"1382967449417", "98", "6", "6899779", "770", "-1", "unknown"
"1382967455578", "98", "6", "6899779", "770", "-1", "unknown"
"1382967482103", "75", "5", "6899779", "770", "-1", "unknown"
"1382967494574", "75", "5", "6899779", "770", "-1", "unknown"
"1382967526845", "75", "5", "6913616", "660", "-1", "unknown"
"1382967540312", "75", "5", "6913616", "660", "-1", "unknown"
"1382967551435", "75", "5", "6913616", "660", "-1", "unknown"
"1382967629649", "74", "5", "6926695", "660", "-1", "unknown"
"1382967638799", "74", "5", "6926695", "660", "-1", "unknown"
"1382967646908", "74", "5", "6926695", "660", "-1", "unknown"
"1382967653957", "74", "5", "6926695", "660", "-1", "unknown"
"1382967661423", "74", "5", "6892879", "660", "-1", "unknown"
"1382967674861", "74", "5", "6892879", "660", "-1", "unknown"
"1382967680393", "74", "5", "402", "770", "-1", "unknown"
"1382967704075", "142", "9", "402", "770", "-1", "unknown"
"1382967714186", "142", "9", "402", "770", "-1", "unknown"
"1382967729523", "142", "9", "402", "770", "-1", "unknown"
"1382967740590", "142", "9", "402", "770", "-1", "unknown"
"1382967751770", "142", "9", "402", "770", "-1", "unknown"
"1382967764917", "142", "9", "402", "770", "-1", "unknown"
"1382967908942", "143", "9", "4007", "26631", "-1", "unknown"
"1382967920684", "143", "9", "603", "770", "-1", "unknown"
"1382967930140", "143", "9", "603", "770", "-1", "unknown"
"1382967935592", "143", "9", "603", "770", "-1", "unknown"
"1382967954308", "143", "9", "603", "770", "-1", "unknown"
"1382967964937", "143", "9", "603", "770", "-1", "unknown"
"1382968135036", "144", "9", "603", "770", "-1", "unknown"
"1382968147974", "144", "9", "603", "770", "-1", "unknown"
"1382968160426", "144", "9", "603", "770", "-1", "unknown"
"1382968171815", "144", "9", "603", "770", "-1", "unknown"
"1382968179973", "144", "9", "603", "770", "-1", "unknown"
"1382968185750", "144", "9", "603", "770", "-1", "unknown"
"1382968191675", "144", "9", "603", "770", "-1", "unknown"
"1382968198345", "144", "9", "603", "770", "-1", "unknown"
"1382968270434", "145", "9", "602", "770", "-1", "unknown"
"1382968284965", "145", "9", "602", "770", "-1", "unknown"
"1382968308180", "145", "9", "602", "770", "-1", "unknown"
"1382968314878", "145", "9", "602", "770", "-1", "unknown"
"1382968321037", "145", "9", "602", "770", "-1", "unknown"
"1382968327388", "145", "9", "602", "770", "-1", "unknown"
"1382968405485", "146", "9", "602", "770", "-1", "unknown"
"1382968412043", "146", "9", "602", "770", "-1", "unknown"
"1382968420605", "146", "9", "602", "770", "-1", "unknown"
"1382968428120", "146", "9", "602", "770", "-1", "unknown"
"1382968432704", "146", "9", "602", "770", "-1", "unknown"
"1382968436854", "146", "9", "602", "770", "-1", "unknown"
"1382968441151", "146", "9", "602", "770", "-1", "unknown"
"1382968447234", "146", "9", "602", "770", "-1", "unknown"
"1382968451533", "146", "9", "602", "770", "-1", "unknown"
"1382968456749", "146", "9", "602", "770", "-1", "unknown"
"1382968497908", "147", "9", "4016", "26631", "-1", "unknown"
"1382968518340", "147", "9", "601", "770", "-1", "unknown"
"1382968544004", "147", "9", "601", "770", "-1", "unknown"
"1382968554178", "147", "9", "601", "770", "-1", "unknown"
"1382968639274", "148", "9", "41833", "770", "-1", "unknown"
"1382968650684", "148", "9", "41833", "770", "-1", "unknown"
"1382968659027", "148", "9", "41833", "770", "-1", "unknown"
"1382968670155", "148", "9", "41833", "770", "-1", "unknown"
"1382968674358", "148", "9", "41833", "770", "-1", "unknown"
"1382968687566", "148", "9", "41833", "770", "-1", "unknown"
"1382968694664", "148", "9", "41833", "770", "-1", "unknown"
"1382968797744", "149", "9", "4027", "26631", "-1", "unknown"
"1382968805015", "149", "9", "41833", "770", "-1", "unknown"
"1382968817203", "149", "9", "41833", "770", "-1", "unknown"
"1382968845056", "149", "9", "41833", "770", "-1", "unknown"
"1382968854787", "149", "9", "41833", "770", "-1", "unknown"
"1382968911333", "150", "9", "41832", "770", "-1", "unknown"
"1382968924298", "150", "9", "41832", "770", "-1", "unknown"
"1382968936326", "150", "9", "41832", "770", "-1", "unknown"
"1382968952786", "150", "9", "41832", "770", "-1", "unknown"
"1382968962298", "150", "9", "41832", "770", "-1", "unknown"
"1382968966438", "150", "9", "41832", "770", "-1", "unknown"
"1382969073156", "162", "9", "4026", "26631", "-1", "unknown"
"1382969080957", "162", "9", "4026", "26631", "-1", "unknown"
"1382969093114", "162", "9", "41832", "770", "-1", "unknown"
"1382969111305", "162", "9", "41832", "770", "-1", "unknown"
"1382969244831", "163", "9", "4036", "26631", "-1", "unknown"
"1382969252185", "163", "9", "4036", "26631", "-1", "unknown"
"1382969261340", "163", "9", "41831", "770", "-1", "unknown"
"1382969284219", "163", "9", "41831", "770", "-1", "unknown"
"1382969312949", "163", "9", "41831", "770", "-1", "unknown"
"1382969320577", "163", "9", "41831", "770", "-1", "unknown"
"1382969327209", "163", "9", "41831", "770", "-1", "unknown"
"1382969398474", "164", "9", "4036", "26631", "-1", "unknown"
"1382969422405", "164", "9", "4036", "26631", "-1", "unknown"
"1382969433921", "164", "9", "41831", "770", "-1", "unknown"
"1382969444496", "164", "9", "41831", "770", "-1", "unknown"
"1382969452608", "164", "9", "41831", "770", "-1", "unknown"
"1382969460549", "164", "9", "41831", "770", "-1", "unknown"
"1382969477042", "164", "9", "41831", "770", "-1", "unknown"
"1382969485174", "164", "9", "41831", "770", "-1", "unknown"
"1382969494141", "164", "9", "41831", "770", "-1", "unknown"
"1382969502109", "164", "9", "41831", "770", "-1", "unknown"
"1382969512410", "191", "12", "41831", "770", "-1", "unknown"
"1382969519632", "191", "12", "41831", "770", "-1", "unknown"
"1382969526786", "191", "12", "41831", "770", "-1", "unknown"
"1382969536944", "191", "12", "41831", "770", "-1", "unknown"
"1382969547979", "191", "12", "4035", "26631", "-1", "unknown"
"1382969562552", "191", "12", "4035", "26631", "-1", "unknown"
"1382969578692", "191", "12", "4035", "26631", "-1", "unknown"
"1382969694514", "191", "12", "41831", "770", "-1", "unknown"
"1382969702708", "191", "12", "41831", "770", "-1", "unknown"
"1382969709746", "191", "12", "41831", "770", "-1", "unknown"
"1382969714126", "191", "12", "41831", "770", "-1", "unknown"
"1382969902194", "191", "12", "13936", "655", "-1", "unknown"
"1382969910184", "192", "12", "13936", "655", "-1", "unknown"
"1382969925369", "192", "12", "4875", "655", "-1", "unknown"
"1382969937047", "192", "12", "660238", "655", "-1", "unknown"
"1382969953651", "192", "12", "660238", "655", "-1", "unknown"
"1382969971177", "192", "12", "660238", "655", "-1", "unknown"
"1382970018496", "192", "12", "710188", "655", "-1", "unknown"
"1382970024510", "193", "12", "710188", "655", "-1", "unknown"
"1382970038689", "193", "12", "710188", "655", "-1", "unknown"
"1382970047170", "193", "12", "710188", "655", "-1", "unknown"
"1382970062470", "193", "12", "710188", "655", "-1", "unknown"
"1382970124376", "194", "12", "658107", "655", "-1", "unknown"
"1382970137413", "194", "12", "658107", "655", "-1", "unknown"
"1382970159129", "194", "12", "658109", "655", "-1", "unknown"
"1382970251358", "195", "12", "671017", "655", "-1", "unknown"
"1382970265475", "195", "12", "671017", "655", "-1", "unknown"
"1382970278149", "195", "12", "671017", "655", "-1", "unknown"
"1382970285262", "195", "12", "671017", "655", "-1", "unknown"
