id_entrance;meetcode;name_ru;name_en;id_station;direction;lat;lon;max_width;min_step;min_step_ramp;lift;lift_minus_step;min_rail_width;max_rail_width;max_angle;escalator;time
110000;1;Аржайл Стрит;Argyle Street;1;both;55.85791074;-4.255084078;900;30;30;0;0;0;0;0;1;190
110010;2;Хауард Стрит;Howard Street;1;both;55.85721926;-4.255332881;900;22;22;0;0;0;0;0;1;182
110020;1;Бьюкенен Бас Стейшн;Buchanan Bus Station;2;both;55.86270712;-4.253365591;830;29;29;0;0;0;1000;6;1;189
110030;2;Квин Стрит Стейшн;Queen Street Station;2;both;55.86244016;-4.252395067;830;29;29;0;0;0;1000;5;0;89
110040;3;Вест Джордж Стрит;West George Street;2;both;55.86211479;-4.253465702;830;51;51;0;0;0;0;0;0;111
110050;1;Нью-Сити Роуд, Гарскуб Роуд;New City Road, Garscube Road;3;both;55.86818294;-4.259889424;900;24;24;0;0;0;0;0;1;184
110060;2;Дандасвейл Роуд;Dundasvale Road;3;both;55.86812481;-4.259821114;900;24;24;0;0;0;0;0;1;184
110070;1;Грейт Вестерн Роуд, Квинс Кресент;Great Western Road, Queen's Crescent;4;in;55.87125972;-4.269286748;800;30;30;0;0;0;0;0;0;90
110071;1;Грейт Вестерн Роуд, Квинс Кресент;Great Western Road, Queen's Crescent;4;out;55.87125972;-4.269286748;900;18;18;0;0;0;0;0;1;178
110080;1;Келвингроув Парк, автостоянка;Car Park, Kelvingrove Park;5;both;55.87430674;-4.279643825;900;16;16;0;0;0;0;0;1;176
110090;2;Грейт Вестерн Роуд, Келвин Бридж;Great Western Road, Kelvin Bridge;5;both;55.8745969;-4.279390873;900;16;16;0;0;0;0;0;2;276
110100;1;Байрс Роуд;Byres Road;6;both;55.8755353;-4.29318444;900;26;26;0;0;0;0;0;1;186
110110;1;Дамбартон Роуд;Dumbarton Road;7;both;55.87066998;-4.300208016;900;33;33;0;0;0;0;0;0;93
110130;1;Ж/д станция;Railway Station;8;both;55.86989705;-4.309110815;900;0;0;0;0;0;0;0;1;160
110140;2;Дамбартон Роуд, автобусная станция;Bus Station, Dumbarton Road;8;both;55.86997639;-4.308796011;900;0;0;0;0;0;0;0;1;160
110150;3;Порт Глазго, Бейт Стрит;Glasgow Harbour, Beith Street;8;both;55.86966414;-4.308668042;900;0;0;0;0;0;0;0;1;160
110160;1;автобусная станция;Bus Station;9;both;55.86232896;-4.310656679;900;0;0;0;0;0;0;0;1;160
110170;1;Вудвилл Стрит;Woodville Street;10;both;55.85471993;-4.304532086;860;28;28;0;0;0;0;0;0;88
110180;2;Копленд Роуд;Copland Road;10;both;55.85465851;-4.304462983;860;28;28;0;0;0;0;0;0;88
110190;1;Сеснок Стрит, Научный центр Глазго;Cessnock Street, Glasgow Science Centre;11;both;55.85219894;-4.29417684;900;31;31;0;0;0;0;0;0;91
110200;2;Уолмер Кресент;Walmer Crescent;11;both;55.85199931;-4.294286893;900;31;31;0;0;0;0;0;0;91
110210;1;Плантейшен Парк;Plantation Park;12;both;55.85051999;-4.287645305;890;31;31;0;0;0;0;0;0;91
110220;1;Скотленд Стрит, Шилдс Стрит, автостоянка;Car Park, Scotland Street, Shields Road;13;both;55.85011049;-4.275042924;900;16;16;0;0;0;0;0;1;176
110230;1;Вест Стрит, Скотленд Стрит;West Street, Scotland Street;14;both;55.84953207;-4.266026233;900;30;30;0;0;0;0;0;0;90
110240;1;Эглинтон Стрит;Car Park, Eglinton Street;15;both;55.85211448;-4.258890685;900;30;30;0;0;0;0;0;0;90
