id_station;id_line;id_node;name_en;name_ru;lat;lon
1;1;1;St Enoch;Сент-Инок;55.857498414;-4.25520123639
2;1;2;Buchanan Street;Бьюкенен Стрит;55.8623513751;-4.25343770699
3;1;3;Cowcaddens;Каукэдденс;55.8680522024;-4.25983400736
4;1;4;St George's Cross;Сент-Джорджс-Кросс;55.8712276043;-4.26925587575
5;1;5;Kelvinbridge;Келвинбридж;55.8743190282;-4.27978511655
6;1;6;Hillhead;Хиллхед;55.8752937353;-4.29334172868
7;1;7;Kelvinhall;Келвинхолл;55.8709694044;-4.29997927313
8;1;8;Partick;Партик;55.8698578497;-4.30891582691
9;1;9;Govan;Гован;55.8622392999;-4.31058049121
10;1;10;Ibrox;Айброкс;55.854665092;-4.3046318155
11;1;11;Cessnock;Сеснок;55.8522210923;-4.29443705771
12;1;12;Kinning Park;Киннинг Парк;55.8504169441;-4.28768418229
13;1;13;Shields Road;Шилдс Роуд;55.8498972553;-4.2753783428
14;1;14;West Street;Вест Стрит;55.849558278;-4.26592043185
15;1;15;Bridge Street;Бридж Стрит;55.8520190893;-4.25831727622
