id_from;id_to;name_from;name_to;cost
110;111;Академгородок;Житомирская;111
111;112;Житомирская;Святошин;159
112;113;Святошин;Нивки;83
113;114;Нивки;Берестейская;81
114;115;Берестейская;Шулявская;166
115;116;Шулявская;Политехнический институт;95
116;117;Политехнический институт;Вокзальная;173
117;118;Вокзальная;Университет;93
118;119;Университет;Театральная;88
119;120;Театральная;Крещатик;81
120;121;Крещатик;Арсенальная;135
121;122;Арсенальная;Днепр;96
122;123;Днепр;Гидропарк;135
123;124;Гидропарк;Левобережная;135
124;125;Левобережная;Дарница;106
125;126;Дарница;Черниговская;129
126;127;Черниговская;Лесная ;117
210;211;Героев Днепра;Минская;107
211;212;Минская;Оболонь;92
212;213;Оболонь;Петровка;116
213;214;Петровка;Тараса Шевченко;136
214;215;Тараса Шевченко;Контрактовая площадь;110
215;216;Контрактовая площадь;Почтовая площадь;77
216;217;Почтовая площадь;Площадь Независимости;98
217;218;Площадь Независимости;Площадь Льва Толстого;82
218;219;Площадь Льва Толстого;Олимпийская;87
219;220;Олимпийская;Дворец Украина;88
220;221;Дворец Украина;Лыбедская;65
221;222;Лыбедская;Демиевская;91
222;223;Демиевская;Голосеевская;81
223;224;Голосеевская;Васильковская;128
224;225;Васильковская;Выставочный центр;129
225;226;Выставочный центр;Ипподром;83
226;227;Ипподром;Теремки ;110
310;311;Сырец;Дорогожичи;121
311;312;Дорогожичи;Лукьяновская;187
312;314;Лукьяновская;Золотые ворота;230
314;315;Золотые ворота;Дворец спорта;68
315;316;Дворец спорта;Кловская;97
316;317;Кловская;Печерская;123
317;318;Печерская;Дружбы народов;91
318;319;Дружбы народов;Выдубичи;140
319;321;Выдубичи;Славутич;347
321;322;Славутич;Осокорки;77
322;323;Осокорки;Позняки;165
323;324;Позняки;Харьковская;174
324;325;Харьковская;Вырлица;104
325;326;Вырлица;Бориспольская;138
326;327;Бориспольская;Красный хутор;127
120;217;Крещатик;Площадь Независимости;300
119;314;Театральная;Золотые ворота;300
218;315;Площадь Льва Толстого;Дворец спорта;300
