id_entrance;meetcode;name_ru;name_en;name_uk;id_station;direction;lat;lon;max_width;min_step;min_step_ramp;lift;lift_minus_step;min_rail_width;max_rail_width;max_angle;escalator
140010;1;;;;120;both;50.44719031;30.52283013;800;0;0;0;0;0;0;0;1
140020;2;;;;120;both;50.44712567;30.52706445;700;11;0;0;0;0;0;0;1
140030;3;;;;120;both;50.44780943;30.52875768;680;0;0;0;0;0;0;0;2
140040;4;;;;217;both;50.45009795;30.52449528;720;32;0;0;0;0;0;0;1
140050;5;;;;217;both;50.45052572;30.52506423;720;31;0;0;0;390;980;23;1
140060;6;;;;217;both;50.4506635;30.52469003;720;34;0;0;0;410;950;24;1
140070;7;;;;217;both;50.45044238;30.52390763;720;31;2;0;0;400;1000;23;1
140080;8;;;;217;both;50.45022722;30.52363039;720;34;5;0;0;400;900;23;1
140090;9;;;;217;both;50.44996869;30.52341182;720;28;1;0;0;300;900;27;1
140100;10;;;;217;both;50.44972121;30.52339737;720;25;1;0;0;400;970;22;1
140110;11;;;;217;both;50.44958344;30.52376986;720;25;1;0;0;410;980;23;1
140120;12;;;;217;both;50.44898558;30.52338291;720;29;0;0;0;390;900;24;1
140130;13;;;;217;both;50.44918969;30.52383279;720;31;0;0;0;400;950;24;1
140150;1;;;;315;both;50.43839423;30.52085966;680;39;1;0;0;440;930;20;1
140160;2;;;;315;both;50.43808637;30.52064875;680;28;25;0;0;;;;1
140170;3;;;;315;both;50.43812124;30.52114796;680;38;1;0;0;440;930;20;1
140180;4;;;;315;both;50.43785675;30.52096682;680;28;25;0;0;;;;1
140190;5;МакДональдс;;;218;both;50.43958484;30.51683114;680;37;6;0;0;400;880;25;1
140200;6;;;;218;both;50.4396971;30.51557419;680;54;6;0;0;450;930;27;1
140210;7;;;;218;both;50.4394964;30.51562181;680;54;48;0;0;380;930;20;1
140220;8;;;;218;both;50.43914091;30.51591436;680;11;6;0;0;380;930;20;1
140230;9;;;;218;both;50.43908989;30.51662193;680;29;6;0;0;420;930;24;1
140240;10;;;;218;both;50.43923106;30.51694339;680;43;6;0;0;380;930;20;1
140250;11;"ТЦ ""Метроград"" (подземный вход)";;;218;both;50.43937563;30.51679712;680;11;6;0;0;380;930;20;1
140260;12;;;;218;both;50.4395032;30.51680222;680;31;6;0;0;420;930;25;1
140270;1;;;;119;both;50.44509847;30.51844427;700;27;0;0;0;360;860;22;1
140280;2;;;;119;both;50.44529947;30.51851127;700;26;0;0;0;370;870;22;1
140290;3;;;;119;both;50.44526709;30.51755204;700;45;0;0;0;380;860;24;1
140300;4;;;;119;both;50.44545916;30.51759782;700;47;0;0;0;370;880;22;1
