id_station;id_line;id_node;name_en;name_ru;lat;lon
1;1;1;Aviastroitelnaya;Авиастроительная;49.0843906174;55.8562140511
2;1;2;Severny vokzal;Северный вокзал;49.081983215;55.8419662627
3;1;3;Yash'lek;Яшьлек;49.0823414846;55.8284813819
4;1;4;Koz'ya sloboda;Козья слобода;49.0985017656;55.8171644309
5;1;5;Kremlyovskaya;Кремлёвская;49.1061415233;55.7957472603
6;1;6;Ploschad Tukaya;Площадь Тукая;49.1247303099;55.7857208252
7;1;7;Sukonnaya sloboda;Суконная слобода;49.1435480574;55.7765418055
8;1;8;Amet'evo;Аметьево;49.1665167511;55.7651262483
9;1;9;Gorki;Горки;49.1917378945;55.7599885079
10;1;10;Prospect pobedy;Проспект победы;49.208784693;55.7496513984
