id_from;id_to;name_from;name_to;cost
1;2;Lausanne-Flon ;Vigie ;60
2;3;Vigie ;Montelly;60
3;4;Montelly;Provence;60
4;5;Provence;Malley;60
5;6;Malley;Bourdonnette;60
6;7;Bourdonnette;UNIL-Dorigny;60
7;8;UNIL-Dorigny;UNIL-Mouline;60
8;9;UNIL-Mouline;UNIL-Sorge;60
9;10;UNIL-Sorge;EPFL;60
10;11;EPFL;Bassenges;60
11;12;Bassenges;Cerisaie;60
12;13;Cerisaie;Crochy;60
13;14;Crochy;Epenex;60
14;15;Epenex;Renens-Gare ;60
16;17;Ouchy;Jordils;60
17;18;Jordils;Délices;60
18;19;Délices;Grancy;60
19;20;Grancy;Lausanne-Gare;60
20;21;Lausanne-Gare;Lausanne-Flon;60
21;22;Lausanne-Flon;Riponne - Maurice Béjart;60
22;23;Riponne - Maurice Béjart;Bessières;60
23;24;Bessières;Ours;60
24;25;Ours;CHUV;60
25;26;CHUV;La Sallaz;60
26;27;La Sallaz;Fourmi;60
27;28;Fourmi;Vennes;60
28;29;Vennes;Les Croisettes ;60
1;21;Lausanne-Flon ;Lausanne-Flon ;120
