id_entrance;meetcode;name_ru;name_en;id_station;direction;lat;lon;max_width;min_step;min_step_ramp;lift;lift_minus_step;min_rail_width;max_rail_width;max_angle;escalator;time
80000;5;Place de l'Europe, Place Saint-François, Rue du Grand-Chêne;Place de l'Europe, Place Saint-François, Rue du Grand-Chêne;1;both;46.51998537;6.630358828;2000;0;0;1;0;0;0;0;0;60
80010;5;Place de l'Europe, Place Saint-François, Rue du Grand-Chêne;Place de l'Europe, Place Saint-François, Rue du Grand-Chêne;21;in;46.51998537;6.630358828;2000;40;40;1;40;0;0;0;0;100
80011;5;Place de l'Europe, Place Saint-François, Rue du Grand-Chêne;Place de l'Europe, Place Saint-François, Rue du Grand-Chêne;21;out;46.51998537;6.630358828;750;0;0;1;0;0;0;0;1;160
80020;6;Passerelle du Grant-Pont;Passerelle du Grant-Pont;1;both;46.52028932;6.630440485;2000;0;0;1;0;0;0;0;0;60
80030;6;Passerelle du Grant-Pont;Passerelle du Grant-Pont;21;both;46.52028932;6.630440485;2000;0;0;1;0;0;0;0;0;60
80040;4;Rue du Grant-Pont, Route de Bel-Air;Rue du Grant-Pont, Route de Bel-Air;21;in;46.520498;6.631018889;1500;20;20;0;0;0;1500;10;0;80
80041;4;Rue du Grant-Pont, Route de Bel-Air;Rue du Grant-Pont, Route de Bel-Air;21;out;46.520498;6.631018889;750;0;0;0;0;0;1500;10;1;160
80050;3;Point de vente;Point de vente;21;in;46.52056151;6.630449558;2000;42;42;0;0;0;0;0;0;102
80051;3;Point de vente;Point de vente;21;out;46.52056151;6.630449558;750;0;0;0;0;0;0;0;2;260
80060;2;LEB platform;LEB platform;21;both;46.52072936;6.63034295;2000;0;0;0;0;0;0;0;0;60
80070;1;Place de l'Europe, Voie du Chariot;Place de l'Europe, Voie du Chariot;21;both;46.52073616;6.630136539;2000;44;44;0;0;0;0;0;0;104
80080;5;Rue de Côtes-de-Montbenon;Rue de Côtes-de-Montbenon;2;both;46.52160264;6.624536229;2000;40;40;0;0;0;0;0;0;100
80090;3;Pont Chauderon;Pont Chauderon;2;both;46.52176141;6.623472419;1000;0;0;0;0;0;1000;7;0;60
80100;4;Rue de la Vigie;Rue de la Vigie;2;both;46.52148242;6.624284453;2000;41;41;0;0;0;0;0;0;101
80110;2;Rue de la Vigie;Rue de la Vigie;2;both;46.52163439;6.623322715;1000;0;0;1;0;0;1000;7;0;60
80120;1;Théâtre Arsenic, EPSIC, ERACOM, Les DOCS;Théâtre Arsenic, EPSIC, ERACOM, Les DOCS;2;both;46.5216911;6.623238789;2000;0;0;0;0;0;2000;5;0;60
80130;1;AMAG;AMAG;3;both;46.5221266;6.61268462;2000;0;0;0;0;0;2000;5;0;60
80140;3;AMAG, Migrol;AMAG, Migrol;3;both;46.52198824;6.613235805;2000;0;0;0;0;0;2000;5;0;60
80150;4;Avenue de Provence, Migrol;Avenue de Provence, Migrol;3;both;46.52184307;6.613952572;2000;0;0;0;0;0;2000;4;0;60
80160;5;Avenue de Provence, Avenue de Montoie;Avenue de Provence, Avenue de Montoie;3;both;46.52167976;6.613768843;2000;0;0;0;0;0;2000;4;0;60
80180;2;Chemin de Malley;Chemin de Malley;4;both;46.52345126;6.607878197;2000;0;0;0;0;0;2000;6;0;60
80190;1;Chemin de Malley;Chemin de Malley;4;both;46.52364406;6.607950781;2000;0;0;0;0;0;2000;7;0;60
