id_entrance;name_ru;name_en;name_pl;name_by;id_station;direction;lat;lon;max_width;min_step;min_step_ramp;lift;lift_minus_step;min_rail_width;max_rail_width;max_angle
50000;;;;;223;both;53.9073627278;27.435096312;;77;31;1;30;330;900;17
50010;;;;;223;both;53.9066052585;27.4350219592;;73;31;1;30;330;900;17
50020;;;;;223;both;53.9074603158;27.4363277804;;74;71;1;30;0;0;5
50030;;;;;223;both;53.9062985532;27.4354448408;;78;78;1;30;0;0;0
50040;;;;;223;both;53.9063543178;27.436193016;;77;31;1;30;330;900;17
50050;;;;;223;both;53.9072558456;27.4366995445;;73;70;2;73;0;0;0
50060;;;;;223;both;53.9065401998;27.4366112505;;70;70;2;70;0;0;0
50070;;;;;223;both;53.9071350223;27.4388046584;;73;69;0;0;0;0;5
50080;;;;;223;both;53.9066099056;27.438767482;;75;71;0;0;0;0;5
50090;;;;;223;both;53.907111787;27.4395388924;;75;32;0;0;330;900;17
50100;;;;;223;both;53.9065866703;27.4394645396;;72;32;0;0;330;900;17
50110;;;;;218;both;53.9056551786;27.5376145946;720;71;62;0;0;400;1000;18
50120;;;;;218;both;53.9053831725;27.5375632727;720;72;28;0;0;400;1000;18
50130;;;;;218;both;53.9055987245;27.5382304574;720;74;28;0;0;400;1000;18
50140;;;;;218;both;53.9053113219;27.5381740033;720;75;66;0;0;400;1000;18
50150;;;;;218;both;53.9053029938;27.5408119487;720;35;1;0;0;400;1000;18
50160;;;;;218;both;53.9053189837;27.5414315591;720;39;30;0;0;400;1000;18
50170;;;;;218;both;53.9051930629;27.5415594786;720;40;1;0;0;400;1000;18
50180;;;;;218;both;53.9049851936;27.5409218796;720;42;19;0;0;400;1000;18
50190;;;;;218;both;53.90494322;27.5408839034;720;42;5;0;0;400;1000;18
50200;;;;;218;both;53.9049092414;27.5404341862;720;38;4;0;0;400;1000;18
50210;;;;;218;both;53.9050931258;27.5402582968;720;42;42;0;0;0;0;0
50220;;;;;220;both;53.9096798145;27.4946947051;;75;66;0;0;390;1000;18
50230;;;;;220;both;53.9093154827;27.494747592;;74;34;0;0;390;1000;18
50240;;;;;220;both;53.9091215642;27.4952000685;;75;65;0;0;390;1000;18
50250;;;;;220;both;53.9099207435;27.4950002737;;68;34;0;0;390;1000;18
50260;;;;;220;both;53.9100265173;27.4959698662;;71;68;0;0;390;1000;18
50270;;;;;220;both;53.9091215642;27.4961344032;;70;34;0;0;390;1000;18
50280;;;;;220;both;53.9093801222;27.4964693533;;67;63;0;0;390;1000;18
50290;;;;;220;both;53.9098267224;27.4963929612;;68;34;0;0;390;1000;18
50300;;;;;220;both;53.9099207435;27.4981617331;760;71;71;0;0;0;0;0
50310;;;;;220;both;53.9095446591;27.4982322489;760;71;71;0;0;0;0;0
50320;;;;;220;both;53.9095857934;27.498878644;760;68;31;0;0;390;1000;18
50330;;;;;220;both;53.9099618778;27.4987963755;760;69;32;0;0;390;1000;18
50340;;;;;116;both;53.9029810403;27.5632815444;720;61;1;0;0;390;1120;19
50350;;;;;116;both;53.9029105245;27.5626821599;720;34;1;0;0;390;1120;19
50360;;;;;116;both;53.9024756769;27.5634460813;720;38;1;0;0;390;1120;19
50370;;;;;116;both;53.9015766002;27.5605255509;720;33;33;0;0;0;0;0
50380;;;;;116;both;53.9012827842;27.5609075116;720;35;35;0;0;0;0;0
50390;;;;;216;both;53.9012827842;27.5609075116;720;68;68;0;0;0;0;0
50400;;;;;216;both;53.9015766002;27.5605255509;720;66;66;0;0;0;0;0
50410;;;;;216;both;53.9002779338;27.5623472097;720;39;39;0;0;400;1000;20
50420;;;;;216;both;53.9000781389;27.5626939125;720;41;11;0;0;400;1000;20
50430;;;;;222;both;53.9064781383;27.4532406062;;;;;;;;
50440;;;;;222;both;53.9060021565;27.4533581326;;;;;;;;
50450;;;;;222;both;53.9065721594;27.4543042199;;;;;;;;
50451;;;;;222;both;53.906583912;27.4548037069;;;;;;;;
50460;;;;;222;both;53.9060550433;27.4550093781;;;;;;;;
