date, id_station, id_line, cell_cid, cell_lac, cell_hash, cell_name, cell_signal, cell_neighbors_count, cell_neighbors_data, cell_geo_location
"1383024379607", "195", "12", "671017", "655", "-1", "25001", "17", "0", "[]", "unknown"
"1383024407107", "195", "12", "671019", "655", "-1", "25001", "15", "0", "[]", "unknown"
"1383024424490", "195", "12", "671017", "655", "-1", "25001", "14", "0", "[]", "unknown"
"1383024433204", "195", "12", "671017", "655", "-1", "25001", "15", "0", "[]", "unknown"
"1383024478778", "194", "12", "658109", "655", "-1", "25001", "9", "0", "[]", "unknown"
"1383024500700", "194", "12", "658109", "655", "-1", "25001", "17", "0", "[]", "unknown"
"1383024522662", "194", "12", "658109", "655", "-1", "25001", "17", "0", "[]", "unknown"
"1383024548039", "194", "12", "658107", "655", "-1", "25001", "19", "0", "[]", "unknown"
"1383024588359", "193", "12", "658107", "655", "-1", "25001", "14", "0", "[]", "unknown"
"1383024600266", "193", "12", "657937", "655", "-1", "25001", "9", "0", "[]", "unknown"
"1383024608948", "193", "12", "657937", "655", "-1", "25001", "10", "0", "[]", "unknown"
"1383024616442", "193", "12", "657937", "655", "-1", "25001", "11", "0", "[]", "unknown"
"1383024626686", "193", "12", "710188", "655", "-1", "25001", "11", "0", "[]", "unknown"
"1383024633470", "193", "12", "710188", "655", "-1", "25001", "13", "0", "[]", "unknown"
"1383024682866", "192", "12", "660238", "655", "-1", "25001", "16", "0", "[]", "unknown"
"1383024689928", "192", "12", "660238", "655", "-1", "25001", "17", "0", "[]", "unknown"
"1383024694546", "192", "12", "660238", "655", "-1", "25001", "20", "0", "[]", "unknown"
"1383024704906", "192", "12", "660238", "655", "-1", "25001", "20", "0", "[]", "unknown"
"1383024709918", "192", "12", "660238", "655", "-1", "25001", "22", "0", "[]", "unknown"
"1383024737103", "192", "12", "660238", "655", "-1", "25001", "26", "0", "[]", "unknown"
"1383025050643", "191", "12", "41831", "770", "-1", "25001", "23", "0", "[]", "unknown"
"1383025058937", "191", "12", "41831", "770", "-1", "25001", "23", "0", "[]", "unknown"
"1383025069291", "191", "12", "41831", "770", "-1", "25001", "23", "0", "[]", "unknown"
"1383025077671", "191", "12", "41831", "770", "-1", "25001", "23", "0", "[]", "unknown"
"1383025087157", "191", "12", "41831", "770", "-1", "25001", "23", "0", "[]", "unknown"
"1383025095330", "191", "12", "4035", "26631", "-1", "25001", "23", "0", "[]", "unknown"
"1383025105992", "191", "12", "4035", "26631", "-1", "25001", "22", "0", "[]", "unknown"
"1383025170207", "164", "9", "41831", "770", "-1", "25001", "13", "0", "[]", "unknown"
"1383025184756", "164", "9", "41831", "770", "-1", "25001", "12", "0", "[]", "unknown"
"1383025200784", "164", "9", "41831", "770", "-1", "25001", "11", "0", "[]", "unknown"
"1383025213767", "164", "9", "41831", "770", "-1", "25001", "6", "0", "[]", "unknown"
"1383025229806", "164", "9", "41831", "770", "-1", "25001", "4", "0", "[]", "unknown"
"1383025344453", "163", "9", "41831", "770", "-1", "25001", "13", "0", "[]", "unknown"
"1383025353808", "163", "9", "41831", "770", "-1", "25001", "20", "0", "[]", "unknown"
"1383025361677", "163", "9", "41831", "770", "-1", "25001", "23", "0", "[]", "unknown"
"1383025372328", "163", "9", "41831", "770", "-1", "25001", "23", "0", "[]", "unknown"
"1383025385975", "163", "9", "41831", "770", "-1", "25001", "25", "0", "[]", "unknown"
"1383025395527", "163", "9", "41831", "770", "-1", "25001", "24", "0", "[]", "unknown"
"1383025402210", "163", "9", "41831", "770", "-1", "25001", "24", "0", "[]", "unknown"
"1383025467769", "162", "9", "41832", "770", "-1", "25001", "28", "0", "[]", "unknown"
"1383025476212", "162", "9", "41832", "770", "-1", "25001", "23", "0", "[]", "unknown"
"1383025488466", "162", "9", "41832", "770", "-1", "25001", "18", "0", "[]", "unknown"
"1383025496561", "162", "9", "41832", "770", "-1", "25001", "19", "0", "[]", "unknown"
"1383025503270", "162", "9", "41832", "770", "-1", "25001", "19", "0", "[]", "unknown"
"1383025611200", "150", "9", "41832", "770", "-1", "25001", "23", "0", "[]", "unknown"
"1383025628136", "150", "9", "41832", "770", "-1", "25001", "11", "0", "[]", "unknown"
"1383025643604", "150", "9", "41832", "770", "-1", "25001", "13", "0", "[]", "unknown"
"1383025658583", "150", "9", "41832", "770", "-1", "25001", "17", "0", "[]", "unknown"
"1383025723147", "149", "9", "41833", "770", "-1", "25001", "16", "0", "[]", "unknown"
"1383025730596", "149", "9", "41833", "770", "-1", "25001", "14", "0", "[]", "unknown"
"1383025741186", "149", "9", "41833", "770", "-1", "25001", "17", "0", "[]", "unknown"
"1383025754970", "149", "9", "41833", "770", "-1", "25001", "17", "0", "[]", "unknown"
"1383025905144", "148", "9", "41833", "770", "-1", "25001", "21", "0", "[]", "unknown"
