date,id_station,id_line,cell_cid,cell_lac,cell_hash,cell_name,cell_signal,cell_neighbors_count,cell_neighbors_data,geo_location,who,
1383144802285,8,1,100,7763,-1,25002,25,0, [], unknown,AS,
1383144984320,8,1,400,7763,-1,25002,26,0, [], unknown,AS,
1383157781414,8,1,400,7763,-1,25002,31,0, [], unknown,AS,
1383144816748,9,1,100,7763,-1,25002,25,0, [], unknown,AS,
1383024578490,42,3,452,660,-1,25001,,,,unknown,MD,
1383024585420,42,3,6899758,660,-1,25001,,,,unknown,MD,
1383024593166,42,3,6899758,660,-1,25001,,,,unknown,MD,
1383024615716,42,3,6899758,660,-1,25001,,,,unknown,MD,
1383024623868,42,3,6899758,660,-1,25001,,,,unknown,MD,
1383292787442,42,3,452,660,-1,25001,25,0,[],unknown,MD,
1383292805470,42,3,452,660,-1,25001,31,0,[],unknown,MD,
1383292876604,42,3,11023,660,-1,25001,13,1,"[{""neighbor_network_type"":2,""neighbor_cell_cid"":11031,""neighbor_cell_psc"":-1,""neighbor_cell_lac"":660}]",unknown,MD,
1383023714088,65,3,41852,660,-1,25001,,,,unknown,MD,
1383023727648,65,3,41852,660,-1,25001,,,,unknown,MD,
1383023739137,65,3,41852,660,-1,25001,,,,unknown,MD,
1383023753317,65,3,41852,660,-1,25001,,,,unknown,MD,
1383291890364,65,3,41852,660,-1,25001,18,0,[],unknown,MD,
1383291973929,65,3,41852,660,-1,25001,17,0,[],unknown,MD,
1382967629649,74,5,6926695,660,-1,25001,,,,unknown,DB,
1382967638799,74,5,6926695,660,-1,25001,,,,unknown,DB,
1382967646908,74,5,6926695,660,-1,25001,,,,unknown,DB,
1382967653957,74,5,6926695,660,-1,25001,,,,unknown,DB,
1382967661423,74,5,6892879,660,-1,25001,,,,unknown,DB,
1382967674861,74,5,6892879,660,-1,25001,,,,unknown,DB,
1382967680393,74,5,402,770,-1,25001,,,,unknown,DB,
1383026927570,74,5,6892879,660,-1,25001,11,0,[],unknown,DB,
1383026942439,74,5,6892879,660,-1,25001,11,0,[],unknown,DB,
1383026952105,74,5,6892879,660,-1,25001,11,0,[],unknown,DB,
1383026961149,74,5,6892879,660,-1,25001,11,0,[],unknown,DB,
1383026902893,74,5,402,770,-1,25001,23,0,[],unknown,DB,
1383026910650,74,5,402,770,-1,25001,22,0,[],unknown,DB,
1383026917258,74,5,402,770,-1,25001,21,0,[],unknown,DB,
1383026902893,74,5,402,770,-1,25001,23,0,[],unknown,DB,
1383026910650,74,5,402,770,-1,25001,22,0,[],unknown,DB,
1383026917258,74,5,402,770,-1,25001,21,0,[],unknown,DB,
1383026927570,74,5,6892879,660,-1,25001,11,0,[],unknown,DB,
1383026942439,74,5,6892879,660,-1,25001,11,0,[],unknown,DB,
1383026952105,74,5,6892879,660,-1,25001,11,0,[],unknown,DB,
1383026961149,74,5,6892879,660,-1,25001,11,0,[],unknown,DB,
1383056835594,74,5,6913615,660,-1,25001,19,0,[],unknown,DB,
1383056840281,74,5,6913615,660,-1,25001,19,0,[],unknown,DB,
1383056846640,74,5,6913615,660,-1,25001,19,0,[],unknown,DB,
1383056855810,74,5,6913615,660,-1,25001,18,0,[],unknown,DB,
1383056864821,74,5,6913615,660,-1,25001,18,0,[],unknown,DB,
1383056870801,74,5,6913615,660,-1,25001,17,0,[],unknown,DB,
1383056880609,74,5,6913615,660,-1,25001,11,0,[],unknown,DB,
1383056889965,74,5,6913615,660,-1,25001,10,0,[],unknown,DB,
1383056900331,74,5,6913615,660,-1,25001,11,0,[],unknown,DB,
1383056907204,74,5,6892879,660,-1,25001,12,0,[],unknown,DB,
1383056918596,74,5,6892879,660,-1,25001,5,0,[],unknown,DB,
1383056977482,74,5,402,770,-1,25001,19,0,[],unknown,DB,
1383026902893,74,5,402,770,-1,25001,23,0,[],unknown,DB,
1383026910650,74,5,402,770,-1,25001,22,0,[],unknown,DB,
1383026917258,74,5,402,770,-1,25001,21,0,[],unknown,DB,
1383026927570,74,5,6892879,660,-1,25001,11,0,[],unknown,DB,
1383026942439,74,5,6892879,660,-1,25001,11,0,[],unknown,DB,
1383026952105,74,5,6892879,660,-1,25001,11,0,[],unknown,DB,
1383026961149,74,5,6892879,660,-1,25001,11,0,[],unknown,DB,
1383056835594,74,5,6913615,660,-1,25001,19,0,[],unknown,DB,
1383056840281,74,5,6913615,660,-1,25001,19,0,[],unknown,DB,
1383056846640,74,5,6913615,660,-1,25001,19,0,[],unknown,DB,
1383056855810,74,5,6913615,660,-1,25001,18,0,[],unknown,DB,
1383056864821,74,5,6913615,660,-1,25001,18,0,[],unknown,DB,
1383056870801,74,5,6913615,660,-1,25001,17,0,[],unknown,DB,
1383056880609,74,5,6913615,660,-1,25001,11,0,[],unknown,DB,
1383056889965,74,5,6913615,660,-1,25001,10,0,[],unknown,DB,
1383056900331,74,5,6913615,660,-1,25001,11,0,[],unknown,DB,
1383056907204,74,5,6892879,660,-1,25001,12,0,[],unknown,DB,
1383056918596,74,5,6892879,660,-1,25001,5,0,[],unknown,DB,
1383056977482,74,5,402,770,-1,25001,19,0,[],unknown,DB,
1383112439583,74,5,402,770,-1,25001,22,0,[],unknown,DB,
1383112448167,74,5,402,770,-1,25001,23,0,[],unknown,DB,
1383112456347,74,5,402,770,-1,25001,20,0,[],unknown,DB,
1383112467275,74,5,6926695,660,-1,25001,17,0,[],unknown,DB,
1383112485703,74,5,6926695,660,-1,25001,15,0,[],unknown,DB,
1383112495706,74,5,6926695,660,-1,25001,14,0,[],unknown,DB,
1383112513609,74,5,6926695,660,-1,25001,17,0,[],unknown,DB,
1383026902893,74,5,402,770,-1,25001,23,0,[],unknown,DB,
1383026910650,74,5,402,770,-1,25001,22,0,[],unknown,DB,
1383026917258,74,5,402,770,-1,25001,21,0,[],unknown,DB,
1383026927570,74,5,6892879,660,-1,25001,11,0,[],unknown,DB,
1383026942439,74,5,6892879,660,-1,25001,11,0,[],unknown,DB,
1383026952105,74,5,6892879,660,-1,25001,11,0,[],unknown,DB,
1383026961149,74,5,6892879,660,-1,25001,11,0,[],unknown,DB,
1383056835594,74,5,6913615,660,-1,25001,19,0,[],unknown,DB,
1383056840281,74,5,6913615,660,-1,25001,19,0,[],unknown,DB,
1383056846640,74,5,6913615,660,-1,25001,19,0,[],unknown,DB,
1383056855810,74,5,6913615,660,-1,25001,18,0,[],unknown,DB,
1383056864821,74,5,6913615,660,-1,25001,18,0,[],unknown,DB,
1383056870801,74,5,6913615,660,-1,25001,17,0,[],unknown,DB,
1383056880609,74,5,6913615,660,-1,25001,11,0,[],unknown,DB,
1383056889965,74,5,6913615,660,-1,25001,10,0,[],unknown,DB,
1383056900331,74,5,6913615,660,-1,25001,11,0,[],unknown,DB,
1383056907204,74,5,6892879,660,-1,25001,12,0,[],unknown,DB,
1383056918596,74,5,6892879,660,-1,25001,5,0,[],unknown,DB,
1383056977482,74,5,402,770,-1,25001,19,0,[],unknown,DB,
1383112439583,74,5,402,770,-1,25001,22,0,[],unknown,DB,
1383112448167,74,5,402,770,-1,25001,23,0,[],unknown,DB,
1383112456347,74,5,402,770,-1,25001,20,0,[],unknown,DB,
1383112467275,74,5,6926695,660,-1,25001,17,0,[],unknown,DB,
1383112485703,74,5,6926695,660,-1,25001,15,0,[],unknown,DB,
1383112495706,74,5,6926695,660,-1,25001,14,0,[],unknown,DB,
1383112513609,74,5,6926695,660,-1,25001,17,0,[],unknown,DB,
1383146700202,74,5,6913615,660,-1,25001,16,0,[],unknown,DB,
1383146705284,74,5,6913615,660,-1,25001,16,0,[],unknown,DB,
1383146793037,74,5,402,770,-1,25001,13,0,[],unknown,DB,
1382967482103,75,5,6899779,770,-1,25001,,,,unknown,DB,
1382967494574,75,5,6899779,770,-1,25001,,,,unknown,DB,
1382967526845,75,5,6913616,660,-1,25001,,,,unknown,DB,
1382967540312,75,5,6913616,660,-1,25001,,,,unknown,DB,
1382967551435,75,5,6913616,660,-1,25001,,,,unknown,DB,
1383025005512,75,5,6892887,660,-1,25001,,,,unknown,MD,
1383025032445,75,5,6892887,660,-1,25001,,,,unknown,MD,
1383025037374,75,5,6892887,660,-1,25001,,,,unknown,MD,
1383025044666,75,5,6892887,660,-1,25001,,,,unknown,MD,
1383027006680,75,5,6913616,660,-1,25001,14,0,[],unknown,DB,
1383027043743,75,5,6913616,660,-1,25001,14,0,[],unknown,DB,
1383027051459,75,5,6913616,660,-1,25001,13,0,[],unknown,DB,
1383027059380,75,5,6913616,660,-1,25001,15,0,[],unknown,DB,
1383027006680,75,5,6913616,660,-1,25001,14,0,[],unknown,DB,
1383027043743,75,5,6913616,660,-1,25001,14,0,[],unknown,DB,
1383027051459,75,5,6913616,660,-1,25001,13,0,[],unknown,DB,
1383027059380,75,5,6913616,660,-1,25001,15,0,[],unknown,DB,
1383056613851,75,5,6899779,770,-1,25001,13,0,[],unknown,DB,
1383056618758,75,5,11021,660,-1,25001,5,0,[],unknown,DB,
