date;id_station;id_line;cell_cid;cell_lac;cell_hash;cell_name;cell_signal;cell_neighbors_count;cell_neighbors_data;geo_location;who
"";1;1;31058;7706;-1;25002;"";"";"";"";""
"";1;1;35307;7706;-1;25002;"";"";"";"";""
"";10;1;11860;7736;-1;25002;"";"";"";"";""
"";100;6;49565;26632;-1;25001;"";"";"";"";""
"";100;6;543;770;-1;25001;"";"";"";"";""
"";101;6;1020;7736;-1;25001;"";"";"";"";""
"";101;6;10305849;7736;-1;25001;"";"";"";"";""
"";101;6;49577;26632;-1;25001;"";"";"";"";""
"";101;6;543;770;-1;25001;"";"";"";"";""
"";101;6;6782644;6340;-1;25001;"";"";"";"";""
"";101;6;6802425;6340;-1;25001;"";"";"";"";""
"";11;1;80;7736;-1;25002;"";"";"";"";""
"";110;7;33676;7779;-1;25002;"";"";"";"";""
"";111;7;1390;7779;-1;25002;"";"";"";"";""
"";112;7;680;7758;-1;25002;"";"";"";"";""
"";113;7;670;7761;-1;25002;"";"";"";"";""
"";114;7;1380;7736;-1;25002;"";"";"";"";""
"";115;7;520;7736;-1;25002;"";"";"";"";""
"";116;7;302;7736;-1;25002;"";"";"";"";""
"";118;7;110;7736;-1;25002;"";"";"";"";""
"";119;7;40;7736;-1;25002;"";"";"";"";""
"";12;1;470;7736;-1;25002;"";"";"";"";""
"";120;7;200;7736;-1;25002;"";"";"";"";""
"";121;7;550;7736;-1;25002;"";"";"";"";""
"";122;7;590;7736;-1;25002;"";"";"";"";""
"";123;7;770;7736;-1;25002;"";"";"";"";""
"";124;7;960;7736;-1;25002;"";"";"";"";""
"";125;7;24971;7764;-1;25002;"";"";"";"";""
"";125;7;870;7736;-1;25002;"";"";"";"";""
"";126;7;740;7735;-1;25002;"";"";"";"";""
"";129;9;41831;770;-1;25001;"";"";"";"";""
"";13;1;10317223;7736;503;25002;"";"";"";"";""
"";13;1;290;7736;-1;25002;"";"";"";"";""
"";137;9;240;7736;-1;25002;"";"";"";"";""
"";138;9;61;7736;-1;25002;"";"";"";"";""
"";139;9;60;7736;-1;25002;"";"";"";"";""
"";14;1;10289777;7736;497;25002;"";"";"";"";""
"";14;1;620;7736;-1;25002;"";"";"";"";""
"";140;9;60;7736;487;25002;"";"";"";"";""
"";142;9;402;770;-1;25001;"";"";"";"";""
"";142;9;94663;26802;-1;25001;"";"";"";"";""
"";143;9;4007;26631;-1;25001;"";"";"";"";""
"";143;9;603;770;-1;25001;"";"";"";"";""
"";144;9;603;770;-1;25001;"";"";"";"";""
"";145;9;602;770;-1;25001;"";"";"";"";""
"";146;9;4015;26631;-1;25001;"";"";"";"";""
"";146;9;4017;26631;-1;25001;"";"";"";"";""
"";146;9;602;770;-1;25001;"";"";"";"";""
"";147;9;4016;26631;-1;25001;"";"";"";"";""
"";147;9;601;770;-1;25001;"";"";"";"";""
"";148;9;4016;26631;-1;25001;"";"";"";"";""
"";148;9;41833;770;-1;25001;"";"";"";"";""
"";149;9;4027;26631;-1;25001;"";"";"";"";""
"";149;9;41833;770;-1;25001;"";"";"";"";""
"";15;1;10289753;7736;498;25002;"";"";"";"";""
"";15;1;600;7736;-1;25002;"";"";"";"";""
"";150;9;41832;770;-1;25001;"";"";"";"";""
"";16;1;10607015;7700;466;25002;"";"";"";"";""
"";16;1;10918;7700;-1;25002;"";"";"";"";""
"";16;1;600;7736;-1;25002;"";"";"";"";""
"";162;9;4026;26631;-1;25001;"";"";"";"";""
"";162;9;41832;770;-1;25001;"";"";"";"";""
"";163;9;4036;26631;-1;25001;"";"";"";"";""
"";163;9;41831;770;-1;25001;"";"";"";"";""
"";164;9;4036;26631;-1;25001;"";"";"";"";""
"";164;9;41831;770;-1;25001;"";"";"";"";""
"";165;3;452;660;-1;25001;"";"";"";"";""
"";17;1;10289253;7736;-1;25002;"";"";"";"";""
"";191;12;13936;655;-1;25001;"";"";"";"";""
"";191;12;35307;7706;-1;25002;"";"";"";"";""
"";191;12;4035;26631;-1;25001;"";"";"";"";""
"";191;12;41831;770;-1;25001;"";"";"";"";""
"";191;12;663781;655;-1;25001;"";"";"";"";""
"";192;12;13936;655;-1;25001;"";"";"";"";""
"";192;12;4875;655;-1;25001;"";"";"";"";""
"";192;12;660238;655;-1;25001;"";"";"";"";""
"";192;12;666854;655;-1;25001;"";"";"";"";""
"";192;12;710188;655;-1;25001;"";"";"";"";""
"";193;12;655767;655;-1;25001;"";"";"";"";""
"";193;12;657937;655;-1;25001;"";"";"";"";""
"";193;12;658107;655;-1;25001;"";"";"";"";""
"";193;12;689049;655;-1;25001;"";"";"";"";""
"";193;12;710188;655;-1;25001;"";"";"";"";""
"";194;12;35307;7706;-1;25002;"";"";"";"";""
"";194;12;655767;655;-1;25001;"";"";"";"";""
"";194;12;655769;655;-1;25001;"";"";"";"";""
"";194;12;658107;655;-1;25001;"";"";"";"";""
"";194;12;658109;655;-1;25001;"";"";"";"";""
"";195;12;655593;655;-1;25001;"";"";"";"";""
"";195;12;671017;655;-1;25001;"";"";"";"";""
"";195;12;671019;655;-1;25001;"";"";"";"";""
"";210;3;17582;802;-1;25001;"";"";"";"";""
"";210;3;42601;821;-1;25001;"";"";"";"";""
"";210;3;513420;821;-1;25001;"";"";"";"";""
"";216;3;11971;660;-1;25001;"";"";"";"";""
"";227;7;120;7736;-1;25002;"";"";"";"";""
"";42;3;11023;660;-1;25001;"";"";"";"";""
"";42;3;452;660;-1;25001;"";"";"";"";""
"";42;3;6899758;660;-1;25001;"";"";"";"";""
"";65;3;41852;660;-1;25001;"";"";"";"";""
"";67;5;235;7736;-1;25002;"";"";"";"";""
"";68;5;250;7763;-1;25002;"";"";"";"";""
"";69;5;275;7763;-1;25002;"";"";"";"";""
