id_from;id_to;name_from;name_to;cost
27;26;Варшавская;Каховская;180
27;25;Варшавская;Каширская (11);180
37;38;Аэропорт;Сокол;180
37;36;Аэропорт;Динамо;180
145;146;Нагорная;Нахимовский проспект;180
145;144;Нагорная;Нагатинская;180
36;35;Динамо;Белорусская (2);180
10;9;Охотный Ряд;Лубянка;180
10;32;Охотный Ряд;Театральная;300
10;11;Охотный Ряд;Библиотека им. Ленина;180
76;75;Парк культуры (5);Октябрьская (5);180
76;13;Парк культуры (5);Парк культуры (1);300
76;77;Парк культуры (5);Киевская (5);180
11;54;Библиотека им. Ленина;Александровский сад;300
11;44;Библиотека им. Ленина;Арбатская (3);300
11;12;Библиотека им. Ленина;Кропоткинская;180
11;140;Библиотека им. Ленина;Боровицкая;300
4;5;Сокольники;Красносельская;180
4;3;Сокольники;Преображенская площадь;180
122;121;Беговая;Улица 1905 года;180
122;123;Беговая;Полежаевская;180
5;6;Красносельская;Комсомольская (1);180
152;151;Римская;Чкаловская;180
152;153;Римская;Крестьянская Застава;180
152;83;Римская;Площадь Ильича;300
110;111;Выхино;Рязанский проспект;180
228;110;Лермонтовский проспект;Выхино;180
229;228;Жулебино;Лермонтовский проспект;180
38;39;Сокол;Войковская;180
17;16;Университет;Воробьёвы горы;180
17;18;Университет;Проспект Вернадского;180
163;164;Аннино;Бульвар Дмитрия Донского;180
163;162;Аннино;Улица Академика Янгеля;180
20;225;Красногвардейская;Алма-Атинская;180
20;222;Красногвардейская;Зябликово;300
20;21;Красногвардейская;Домодедовская;180
137;68;Менделеевская;Новослободская;300
137;136;Менделеевская;Савёловская;180
137;138;Менделеевская;Цветной бульвар;180
102;101;Профсоюзная;Академическая;180
102;103;Профсоюзная;Новые Черёмушки;180
81;82;Шоссе Энтузиастов;Авиамоторная;180
81;80;Шоссе Энтузиастов;Перово;180
124;123;Октябрьское Поле;Полежаевская;180
124;125;Октябрьское Поле;Щукинская;180
50;51;Партизанская;Измайловская;180
50;49;Партизанская;Семёновская;180
186;79;Новокосино;Новогиреево;180
141;142;Полянка;Серпуховская;180
141;140;Полянка;Боровицкая;180
61;62;Багратионовская;Филёвский парк;180
61;60;Багратионовская;Фили;180
2;1;Черкизовская;Бульвар Рокоссовского;180
2;3;Черкизовская;Преображенская площадь;180
82;83;Авиамоторная;Площадь Ильича;180
53;52;Щёлковская;Первомайская;180
112;111;Кузьминки;Рязанский проспект;180
112;113;Кузьминки;Текстильщики;180
212;213;Пятницкое шоссе;Митино;180
142;143;Серпуховская;Тульская;180
142;74;Серпуховская;Добрынинская;300
46;45;Курская (3);Пл. Революции;180
46;151;Курская (3);Чкаловская;300
46;71;Курская (3);Курская (5);300
78;67;Краснопресненская;Белорусская (5);180
78;120;Краснопресненская;Баррикадная;300
78;77;Краснопресненская;Киевская (5);180
120;121;Баррикадная;Улица 1905 года;180
120;119;Баррикадная;Пушкинская;180
217;218;Марьина Роща;Достоевская;180
83;84;Площадь Ильича;Марксистская;180
