station_from;station_to;max_width;min_step;min_step_ramp;lift;lift_minus_step;min_rail_width;max_rail_width;max_angle
75;98;?;22;0;0;0;0;0;0
98;75;?;22;0;0;0;0;0;0
42;77;1000;24;0;0;0;0;0;0
77;42;1000;22;0;0;0;0;0;0
42;57;1000;84;63;0;0;300;760;?
57;42;1000;85;63;0;0;300;760;?
57;77;1000;60;39;0;0;300;760;?
210;64;1000;54;0;0;0;0;0;0
64;210;1000;54;0;0;0;0;0;0
20;222;эскалатор;52;0;0;0;410;950;20
222;20;эскалатор;52;0;0;0;410;950;20
226;25;0;50;50;0;0;0;0;0
25;226;0;50;50;0;0;0;0;0
30;73;эскалатор;0;0;0;0;0;0;0
73;30;эскалатор;0;0;0;0;0;0;0
31;97;0;24;24;0;0;0;0;0
97;31;0;22;22;0;0;0;0;0
31;85;0;24;24;0;0;0;0;0
85;31;0;22;22;0;0;0;0;0
85;31;0;46;46;0;0;0;0;0
97;31;0;46;46;0;0;0;0;0
32;45;950;0;0;0;0;0;0;0
45;32;950;0;0;0;0;0;0;0
32;10;950;0;0;0;0;0;0;0
10;32;950;0;0;0;0;0;0;0
33;119;950;0;0;0;0;0;0;0
119;33;950;0;0;0;0;0;0;0
33;139;950;0;0;0;0;0;0;0
139;33;950;21;21;0;0;0;0;0
119;139;950;42;42;0;0;0;0;0
139;119;950;42;42;0;0;0;0;0
67;35;950;46;46;0;0;0;0;0
35;67;950;46;46;0;0;0;0;0
