id_entrance;meetcode;name_ru;name_en;id_station;direction;lat;lon;max_width;min_step;min_step_ramp;lift;lift_minus_step;min_rail_width;max_rail_width;max_angle;escalator;time
14800;1;"шоссе Энтузиастов, кинотеатр ""Факел""";"shosse Entuziastov, cinema ""Fakel""";82;in;55.7516306;37.7162886;740;43;15;0;0;290;690;19;1;203
14801;1;"шоссе Энтузиастов, кинотеатр ""Факел""";"shosse Entuziastov, cinema ""Fakel""";82;out;55.7516306;37.7162886;740;43;10;0;0;350;690;19;1;203
14810;2;шоссе Энтузиастов, трамвайная остановка;shosse Entuziastov, tramway stop;82;in;55.7515293;37.7163578;740;41;41;0;0;0;0;0;1;201
14811;2;"шоссе Энтузиастов, кинотеатр ""Факел""";shosse Entuziastov, tramway stop;82;out;55.7515293;37.7163578;740;41;36;0;0;350;950;19;1;201
14820;4;ул. Авиамоторная, ул. Красноказарменная;ul. Aviamotornaja, ul. Krasnokazarmennaja;82;in;55.7519588;37.71678911;740;44;44;0;0;0;0;0;1;204
14821;4;ул. Авиамоторная, ул. Красноказарменная;ul. Aviamotornaja, ul. Krasnokazarmennaja;82;out;55.7519588;37.71678911;740;44;39;0;0;350;950;19;1;204
14830;3;шоссе Энтузиастов, 2-й Кабельный проезд;shosse Entuziastov, Vtoroj Kabel'nyj proezd;82;in;55.7512042;37.7165431;740;41;15;0;0;280;680;15;1;201
14831;3;шоссе Энтузиастов, 2-й Кабельный проезд;shosse Entuziastov, Vtoroj Kabel'nyj proezd;82;out;55.7512042;37.7165431;740;41;10;0;0;350;680;18;1;201
14840;7;сквер им. Калинина, Лефортовский рынок;skver im. Kalinina, Lefortovskij market;82;in;55.75228308;37.71715318;740;42;42;0;0;0;0;0;1;202
14841;7;сквер им. Калинина, Лефортовский рынок;skver im. Kalinina, Lefortovskij market;82;out;55.75228308;37.71715318;740;42;37;0;0;350;950;19;1;202
14850;8;Дангауэровский путепровод;Dangaujerovskij overpass;82;in;55.75191105;37.71755903;740;41;41;0;0;0;0;0;1;201
14851;8;Дангауэровский путепровод;Dangaujerovskij overpass;82;out;55.75191105;37.71755903;740;41;36;0;0;350;950;19;1;201
14860;6;ул. Авиамоторная, ж/д платформа;ul. Aviamotornaja, railway platform;82;in;55.7509103;37.7178209;740;43;15;0;0;280;680;15;1;203
14861;6;ул. Авиамоторная, ж/д платформа;ul. Aviamotornaja, railway platform;82;out;55.7509103;37.7178209;740;43;10;0;0;350;680;18;1;203
14870;9;"ж/д платформа ""Новая"", ул. 2-я Кабельная";"railway platform ""Novaja"", ul. Vtoraja Kabel'naja";82;in;55.7510902;37.7179455;740;43;16;0;0;280;680;15;1;203
14871;9;"ж/д платформа ""Новая"", ул. 2-я Кабельная";"railway platform ""Novaja"", ul. Vtoraja Kabel'naja";82;out;55.7510902;37.7179455;740;43;11;0;0;350;680;18;1;203
