id_station;id_line;id_node;name_en;name_ru;lat;lon
1;1;126;Bulvar Rokossovskogo;Бульвар Рокоссовского;55.8145984382;37.7344554679
2;1;127;Cherkizovskaya;Черкизовская;55.803964167;37.7447700657
3;1;128;Preobrajenskaya ploschad;Преображенская площадь;55.7963993567;37.7155539546
4;1;129;Sokolniki;Сокольники;55.7889149911;37.6801366412
5;1;130;Krasnoselskaya;Красносельская;55.7803942165;37.6672887875
6;1;91;Komsomolskaya;Комсомольская;55.7754210807;37.6565221269
7;1;131;Krasnye Vorota;Красные ворота;55.7689124352;37.6484282308
8;1;74;Chistye Prudy;Чистые пруды;55.7658735773;37.6390864174
9;1;132;Lubyanka;Лубянка;55.7597424672;37.6274353535
10;1;14;Okhotny Ryad;Охотный ряд;55.7577075346;37.6161756998
11;1;13;Biblioteka imeni Lenina;Библиотека им. Ленина;55.751114968;37.6099705862
12;1;133;Kropotkinskaya;Кропоткинская;55.7449984885;37.6032283589
13;1;93;Park Kultury;Парк культуры;55.7355839147;37.5943569202
14;1;134;Frunzenskaya;Фрунзенская;55.7268469183;37.5794820302
15;1;135;Sportivnaya;Спортивная;55.7232869698;37.5638086945
16;1;136;Vorobyovy Gory;Воробьёвы горы;55.7104347833;37.5594605009
17;1;137;Universitet;Университет;55.6921515346;37.5340639929
18;1;138;Prospekt Vernadskogo;Проспект Вернадского;55.677202105;37.5058239862
19;1;139;Yugo-Zapadnaya;Юго-Западная;55.663595341;37.4832340675
235;1;157;Troparevo;Тропарёво;55.6459334161;37.4725720805
41;2;38;Rechnoy Vokzal;Речной вокзал;55.8548335702;37.4763312043
40;2;39;Vodny Stadion;Водный стадион;55.8399842878;37.4867599219
39;2;40;Voykovskaya;Войковская;55.8192452949;37.4978435187
38;2;41;Sokol;Сокол;55.8050762842;37.5148268259
37;2;42;Aeroport;Аэропорт;55.8002290124;37.5324148011
36;2;43;Dinamo;Динамо;55.7897102558;37.5581607194
35;2;44;Belorusskaya;Белорусская;55.7766719254;37.5838819568
34;2;45;Mayakovskaya;Маяковская;55.7701163251;37.595785151
33;2;46;Tverskaya;Тверская;55.7656713784;37.60521346
32;2;14;Teatralnaya;Театральная;55.7577349378;37.6192510604
31;2;47;Novokuznetskaya;Новокузнецкая;55.7414124352;37.6294890195
30;2;48;Paveletskaya;Павелецкая;55.7304228988;37.6374127052
29;2;49;Avtozavodskaya;Автозаводская;55.7071202167;37.6577329272
28;2;50;Kolomenskaya;Коломенская;55.6783104583;37.6638596394
226;2;51;Kashirskaya;Каширская;55.6550861243;37.6488656507
24;2;52;Kantemirovskaya;Кантемировская;55.6358055968;37.6565514085
23;2;53;Tsaritsino;Царицыно;55.6218392487;37.6691611279
22;2;54;Orekhovo;Орехово;55.6132321634;37.6947826785
21;2;55;Domodedovskaya;Домодедовская;55.6109504423;37.7193285684
20;2;56;Krasnogvardeyskaya;Красногвардейская;55.613767643;37.7441054813
225;2;57;Alma-Atinskaya;Алма-Атинская;55.6327740853;37.7662734618
212;3;1;Pyatnitskoye Shosse;Пятницкое шоссе;55.8565309095;37.3546269201
213;3;2;Mitino;Митино;55.8458613499;37.3622376057
214;3;3;Volokolamskaya;Волоколамская;55.8356538153;37.3819127353
215;3;4;Myakinino;Мякинино;55.8250862309;37.3852653623
211;3;5;Strogino;Строгино;55.803646286;37.4031342416
66;3;6;Krilatskoye;Крылатское;55.7568157602;37.4082360249
65;3;7;Molodyojnaya;Молодежная;55.7408251705;37.4169057993
210;3;8;Kuntsevskaya;Кунцевская;55.7306764103;37.4460326519
216;3;9;Slavyansky Bulvar;Славянский бульвар;55.7295810693;37.470735238
165;3;10;Park Pobedy;Парк Победы;55.7360892765;37.5184795258
42;3;11;Kievskaya;Киевская;55.7444775172;37.5673182158
43;3;12;Smolenskaya;Смоленская;55.7473238899;37.5824294281
44;3;13;Arbatskaya;Арбатская;55.7521241314;37.606817611
45;3;14;Ploschad Revolyutsii;Площадь Революции;55.756663032;37.6219625098
46;3;15;Kurskaya;Курская;55.7581372629;37.6580747868
48;3;17;Elektrozavodskaya;Электрозаводская;55.7820457833;37.7038682025
49;3;18;Semyonovskaya;Семеновская;55.7830638295;37.7207696305
50;3;19;Partizanskaya;Партизанская;55.7884944512;37.7507304831
51;3;20;Izmaylovskaya;Измайловская;55.7877153641;37.7815926199
52;3;21;Pervomayskaya;Первомайская;55.7946632256;37.7994714032
53;3;22;Schyolkovskaya;Щелковская;55.8093187282;37.7986560195
64;4;8;Kuntsevskaya;Кунцевская;55.7308098293;37.4459598779
63;4;23;Pionerskaya;Пионерская;55.7359270071;37.4671906288
62;4;24;Filyovsky Park;Филевский парк;55.7394557442;37.4834122735
61;4;25;Bagrationovskaya;Багратионовская;55.7436913055;37.4978415613
60;4;26;Fili;Фили;55.7460933837;37.5148795151
59;4;27;Kutuzovskaya;Кутузовская;55.7400234885;37.5343883215
58;4;28;Studencheskaya;Студенческая;55.7388341936;37.5483711687
57;4;11;Kievskaya;Киевская;55.7437735151;37.5663114388
56;4;29;Smolenskaya;Смоленская;55.7487715044;37.5826321758
55;4;30;Arbatskaya;Арбатская;55.7518285151;37.6007488011
54;4;13;Aleksandrovsky Sad;Александровский сад;55.7524412789;37.6088290551
189;4;31;Mejdunarodnaya;Международная;55.7483124156;37.5343801084
188;4;32;Vistavochnaya;Выставочная;55.7498793766;37.5410683944
70;5;91;Komsomolskaya;Комсомольская;55.7749905012;37.6547330992
71;5;15;Kurskaya;Курская;55.757252531;37.6591161083
72;5;64;Taganskaya;Таганская;55.7415710888;37.6507725693
73;5;48;Paveletskaya;Павелецкая;55.7317656555;37.6376789077
74;5;92;Dobryninskaya;Добрынинская;55.728708968;37.6221263126
75;5;76;Oktyabrskaya;Октябрьская;55.7295719394;37.6091779594
76;5;93;Park Kultury;Парк культуры;55.7358810752;37.5916157658
77;5;11;Kievskaya;Киевская;55.7442943799;37.5654800555
78;5;94;Krasnopresnenskaya;Краснопресненская;55.7608548473;37.5772655311
67;5;44;Belorusskaya;Белорусская;55.7761564428;37.5840275048
68;5;90;Novoslobodskaya;Новослободская;55.7795130853;37.6020713055
69;5;72;Prospekt Mira;Проспект Мира;55.7797489307;37.6332012504
86;6;65;Medvedkovo;Медведково;55.8871397904;37.661441849
87;6;66;Babushkinskaya;Бабушкинская;55.8696045044;37.6642463055
88;6;67;Sviblobo;Свиблово;55.855125325;37.6526703446
89;6;68;Botanichesky Sad;Ботанический сад;55.8452975204;37.6383545844
90;6;69;V.D.N.Ha;ВДНХ;55.8211007477;37.6412101812
91;6;70;Alekseevskaya;Алексеевская;55.8086000959;37.6387147407
92;6;71;Rijskaya;Рижская;55.7933261812;37.6363288881
93;6;72;Prospekt Mira;Проспект Мира;55.781075714;37.6324275773
94;6;73;Sukharevskaya;Сухаревская;55.772797627;37.632024412
95;6;74;Turgenevskaya;Тургеневская;55.7660771439;37.6374383108
96;6;75;Kitay-Gorod;Китай-город;55.7554992362;37.6331615915
97;6;47;Tretyakovskaya;Третьяковская;55.7408878064;37.6270595915
98;6;76;Oktyabrskaya;Октябрьская;55.7300449705;37.6118281462
99;6;77;Shabolovskaya;Шаболовская;55.7194604991;37.6079169734
100;6;78;Leninsky Prospekt;Ленинский проспект;55.7077074814;37.5859838241
101;6;79;Akademicheskaya;Академическая;55.6878171474;37.573538524
102;6;80;Profsoyuznaya;Профсоюзная;55.6779424725;37.5629796092
103;6;81;Novye Cheremushki;Новые Черемушки;55.6702897442;37.5547473926
104;6;82;Kalujskaya;Калужская;55.6572141705;37.5405970515
105;6;83;Belyayevo;Беляево;55.642694502;37.5256835991
106;6;84;Konkovo;Коньково;55.6330824565;37.519082833
107;6;85;Tyoply Stan;Теплый Стан;55.6186893481;37.5080931368
108;6;86;Yasenevo;Ясенево;55.6062010391;37.5337195489
109;6;87;Novoyasenevskaya;Новоясеневская;55.6008839449;37.5542942291
128;7;140;Planernaya;Планерная;55.8606597016;37.4365191919
127;7;141;Skhodnenskaya;Сходненская;55.8503013445;37.4398069219
126;7;142;Tushinskaya;Тушинская;55.8264978732;37.4368438217
234;7;156;Spartak;Спартак;55.8182854224;37.4353890252
125;7;143;Schukinskaya;Щукинская;55.8085718526;37.464288357
124;7;144;Oktyabrskoye Pole;Октябрьское поле;55.7932861292;37.4939321678
123;7;145;Polejaevskaya;Полежаевская;55.7774903641;37.5194106519
122;7;146;Begovaya;Беговая;55.7735463732;37.5469661352
121;7;147;Ulitsa 1905 Goda;Улица 1905 года;55.7644718579;37.561553762
120;7;94;Barrikadnaya;Баррикадная;55.7610218544;37.5799150461
119;7;46;Pushkinskaya;Пушкинская;55.7652916483;37.6060433855
118;7;132;Kuznetsky Most;Кузнецкий мост;55.7609038384;37.6259744618
227;7;75;Kitay-Gorod;Китай-город;55.7554992362;37.6331615915
116;7;64;Taganskaya;Таганская;55.7407068974;37.6518459859
115;7;98;Proletarskaya;Пролетарская;55.7318578757;37.6660894156
114;7;148;Volgogradsky Prospekt;Волгоградский проспект;55.725278;37.686784389
113;7;149;Tekstilschiki;Текстильщики;55.7087872167;37.7310608952
112;7;150;Kuzminki;Кузьминки;55.7055442025;37.7661471261
111;7;151;Ryazansky Prospekt;Рязанский проспект;55.7166762256;37.7931250942
110;7;152;Vykhino;Выхино;55.7156324807;37.8179245675
228;7;153;Lermontovsky prospect;Лермонтовский проспект;55.7013982065;37.852082347
229;7;154;Zhulebino;Жулебино;55.6852485179;37.8560134755
85;8;47;Tretyakovskaya;Третьяковская;55.7408878064;37.6270595915
186;8;58;Novokosino;Новокосино;55.7450590693;37.8641624618
79;8;59;Novogireevo;Новогиреево;55.7518020586;37.8163999041
80;8;60;Perovo;Перово;55.7512617176;37.7864766456
81;8;61;Shosse Entuziastov;Шоссе Энтузиастов;55.7572270533;37.7498526545
82;8;62;Aviamotornaya;Авиамоторная;55.7520066359;37.7200331688
83;8;63;Ploschad Ilyicha;Площадь Ильича;55.7465838437;37.6819031083
84;8;64;Marksistskaya;Марксистская;55.7413792664;37.6526590905
233;8;10;Park Pobedy;Парк Победы;55.7358952125;37.5183218488
230;8;32;Delovoi Centr;Деловой Центр;55.7492765062;37.5397178082
129;9;108;Altufyevo;Алтуфьево;55.8982555986;37.5874098544
130;9;109;Bibirevo;Бибирево;55.883618936;37.6027545648
131;9;110;Otradnoye;Отрадное;55.8634553037;37.6048198686
132;9;111;Vladykino;Владыкино;55.8471437051;37.5899138224
133;9;112;Petrovsko-Razumovskaya;Петровско-Разумовская;55.8346969377;37.5740407815
134;9;113;Timiryazevskaya;Тимирязевская;55.8182047602;37.5756765701
135;9;114;Dmitrovskaya;Дмитровская;55.8074068331;37.5811854867
136;9;115;Savelovskaya;Савеловская;55.792835881;37.5878249236
137;9;90;Mendeleevskaya;Менделеевская;55.7809305541;37.6011800356
138;9;97;Tsvetnoy Bulvar;Цветной бульвар;55.771118936;37.6188844049
139;9;46;Chekhovskaya;Чеховская;55.7649658845;37.609706096
140;9;13;Borovitskaya;Боровицкая;55.7508722007;37.6066641492
141;9;116;Polyanka;Полянка;55.7381616448;37.6175774547
142;9;92;Serpukhovskaya;Серпуховская;55.7270311491;37.6250717974
143;9;117;Tulskaya;Тульская;55.7087363809;37.6229149724
144;9;118;Nagatinskaya;Нагатинская;55.6829062931;37.622826881
145;9;119;Nagornaya;Нагорная;55.6722495097;37.6103896234
146;9;120;Nakhimovsky Prospect;Нахимовский проспект;55.6626918757;37.605677357
147;9;89;Sevastopolskaya;Севастопольская;55.6520476146;37.598337492
148;9;121;Chertanovskaya;Чертановская;55.6405981154;37.6063301723
149;9;122;Yujnaya;Южная;55.6222533179;37.6091629787
150;9;123;Prajskaya;Пражская;55.612464714;37.6041356288
162;9;124;Ulitsa Akademika Yangelya;Улица Академика Янгеля;55.5947729449;37.6008723073
163;9;125;Annino;Аннино;55.582535286;37.5964282007
164;9;33;Bulvar Dmitiya Donskogo;Бульвар Дмитрия Донского;55.5691289165;37.5768724174
217;10;95;Maryina Roscha;Марьина Роща;55.7950241759;37.6161466625
218;10;96;Dostoevskaya;Достоевская;55.7813381616;37.6150516786
166;10;97;Trubnaya;Трубная;55.7685374068;37.6202890106
219;10;74;Sretensky Bulvar;Сретенский бульвар;55.7668086626;37.6398320925
151;10;15;Chkalovskaya;Чкаловская;55.7571053446;37.6565597282
