id_from;id_to;name_from;name_to;cost
1;2;Горьковская;Московская;240
2;3;Московская;Чкаловская;130
3;4;Чкаловская;Ленинская;130
4;5;Ленинская;Заречная;130
5;6;Заречная;Двигатель Революции;130
6;7;Двигатель Революции;Пролетарская;130
7;8;Пролетарская;Автозаводская;130
8;9;Автозаводская;Комсомольская;130
9;10;Комсомольская;Кировская;130
10;11;Кировская;Парк культуры;130
15;14;Московская;Канавинская;180
14;13;Канавинская;Бурнаковская;180
13;12;Бурнаковская;Буревестник;180
2;15;Moscovskaya;Moscovskaya;300
