id_station;id_line;id_node;name_en;name_ru;lat;lon
1;1;1;Gorkovskaya;Горьковская;56.3137521084;43.9941127713
2;1;2;Moskovskaya;Московская;56.3210124098;43.9470858686
3;1;3;Chkalovskaya;Чкаловская;56.3106007784;43.9371708923
4;1;4;Leninskaya;Ленинская;56.2990907053;43.9381569521
5;1;5;Zarechnaya;Заречная;56.285169861;43.9277815728
6;1;6;Dvigatel Revolutsii;Двигатель Революции;56.2764729586;43.9213069302
7;1;7;Proletarskaya;Пролетарская;56.2665108544;43.9132444412
8;1;8;Avtozavodskaya;Автозаводская;56.2574115526;43.9017271177
9;1;9;Komsomolskaya;Комсомольская;56.2529126547;43.8901626663
10;1;10;Kirovskaya;Кировская;56.2476995886;43.876785605
11;1;11;Park Kultury;Парк культуры;56.2421131247;43.8580395931
12;2;12;Burevestnik;Буревестник;56.3332690334;43.8948638966
13;2;13;Burnakovskaya;Бурнаковская;56.3261917568;43.9113085422
14;2;14;Kanavinskaya;Канавинская;56.3205503735;43.9267548751
