id_from;id_to;name_from;name_to;cost
3;4;Проспект Ветеранов;Ленинский проспект;3
4;5;Ленинский проспект;Автово;3
5;6;Автово;Кировский завод;3
6;7;Кировский завод;Нарвская;3
7;8;Нарвская;Балтийская;3
8;9;Балтийская;Технологический институт 1;3
9;10;Технологический институт 1;Пушкинская;3
9;30;Технологический институт 1;Технологический институт 2;5
10;11;Пушкинская;Владимирская;3
10;87;Пушкинская;Звенигородская;5
11;12;Владимирская;Площадь Восстания;3
12;13;Площадь Восстания;Чернышевская;3
13;14;Чернышевская;Площадь Ленина;3
14;15;Площадь Ленина;Выборгская;3
15;16;Выборгская;Лесная;3
16;17;Лесная;Площадь Мужества;3
17;18;Площадь Мужества;Политехническая;3
18;19;Политехническая;Академическая;3
19;20;Академическая;Гражданский проспект;3
20;21;Гражданский проспект;Девяткино;3
24;23;Звёздная;Купчино;3
25;24;Московская;Звёздная;3
26;25;Парк Победы;Московская;3
27;26;Электросила;Парк Победы;3
28;27;Московские ворота;Электросила;3
29;28;Фрунзенская;Московские ворота;3
30;29;Технологический институт 2;Фрунзенская;3
31;30;Сенная площадь;Технологический институт 2;3
31;70;Сенная площадь;Спасская;5
32;31;Невский проспект;Сенная площадь;3
32;49;Невский проспект;Гостиный двор;5
33;32;Горьковская;Невский проспект;3
35;33;Чёрная речка;Горьковская;3
36;35;Пионерская;Чёрная речка;3
37;36;Удельная;Пионерская;3
38;37;Озерки;Удельная;3
39;38;Проспект Просвещения;Озерки;3
40;39;Парнас;Проспект Просвещения;3
42;43;Рыбацкое;Обухово;3
43;44;Обухово;Пролетарская;3
44;45;Пролетарская;Ломоносовская;3
45;46;Ломоносовская;Елизаровская;3
46;47;Елизаровская;Площадь Александра Невского 1;3
47;48;Площадь Александра Невского 1;Маяковская;3
48;12;Маяковская;Площадь Восстания;5
48;49;Маяковская;Гостиный двор;3
49;51;Гостиный двор;Василеостровская;3
51;52;Василеостровская;Приморская;3
63;64;Улица Дыбенко;Проспект Большевиков;3
64;65;Проспект Большевиков;Ладожская;3
65;66;Ладожская;Новочеркасская;3
66;67;Новочеркасская;Площадь Александра Невского 2;3
67;47;Площадь Александра Невского 2;Площадь Александра Невского 1;5
67;68;Площадь Александра Невского 2;Лиговский проспект;3
68;69;Лиговский проспект;Достоевская;3
69;11;Достоевская;Владимирская;5
69;70;Достоевская;Спасская;3
70;88;Спасская;Садовая;5
84;83;Бухарестская;Международная;3
85;84;Волковская;Бухарестская;3
86;85;Обводный канал;Волковская;3
87;86;Звенигородская;Обводный канал;3
88;31;Садовая;Сенная площадь;5
88;87;Садовая;Звенигородская;3
89;88;Адмиралтейская;Садовая;3
90;89;Спортивная;Адмиралтейская;3
91;90;Чкаловская;Спортивная;3
92;91;Крестовский остров;Чкаловская;3
93;92;Старая деревня;Крестовский остров;3
94;93;Комендантский проспект;Старая деревня;3
