station_from;station_to;max_width;min_step;min_step_ramp;lift;lift_minus_step;min_rail_width;max_rail_width;max_angle;escalator
9;30;1000;39;39;0;0;0;0;0;0
10;87;1000;44;44;0;0;0;0;0;0
31;70;950;42;42;0;0;0;0;0;1
32;49;950;7;7;0;0;0;0;0;1
48;12;950;0;0;0;0;0;0;0;1
67;47;950;26;0;0;0;360;750;24;1
69;11;950;22;22;0;0;0;0;0;1
70;88;930;55;55;0;0;365;740;27;1
88;31;930;29;0;0;0;360;750;27;1
30;9;1000;39;39;0;0;0;0;0;0
87;10;1000;44;44;0;0;0;0;0;0
70;31;950;35;35;0;0;0;0;0;1
49;32;950;7;7;0;0;0;0;0;1
12;48;950;0;0;0;0;0;0;0;1
47;67;950;26;0;0;0;360;750;24;1
11;69;950;22;22;0;0;0;0;0;1
88;70;930;55;55;0;0;365;740;27;1
31;88;930;29;0;0;0;360;750;27;1
