id_entrance;name_ru;name_en;name_pl;id_station;direction;lat;lon;max_width;min_step;min_step_ramp;lift;lift_minus_step;min_rail_width;max_rail_width;max_angle
1036;Проспект Ветеранов-1;Prospekt Veteranov-1;Prospekt Veteranov-1;3;both;59.841875;30.249713;730;60;24;0;0;360;745;22
1037;Проспект Ветеранов-2;Prospekt Veteranov-2;Prospekt Veteranov-2;3;both;59.841800;30.250301;730;60;54;0;0;360;753;22
1038;Проспект Ветеранов-3;Prospekt Veteranov-3;Prospekt Veteranov-3;3;both;59.842198;30.250449;730;58;24;0;0;357;749;22
1039;Проспект Ветеранов-4;Prospekt Veteranov-4;Prospekt Veteranov-4;3;both;59.842269;30.249846;730;59;54;0;0;355;750;22
1040;Проспект Ветеранов-5;Prospekt Veteranov-5;Prospekt Veteranov-5;3;both;59.841692;30.253687;730;59;0;0;0;362;752;22
1041;Проспект Ветеранов-6;Prospekt Veteranov-6;Prospekt Veteranov-6;3;both;59.841658;30.254311;730;59;30;0;0;355;755;22
1042;Проспект Ветеранов-7;Prospekt Veteranov-7;Prospekt Veteranov-7;3;both;59.841509;30.253556;730;59;0;0;0;358;747;22
1043;Проспект Ветеранов-8;Prospekt Veteranov-8;Prospekt Veteranov-8;3;both;59.841480;30.254269;730;59;0;0;0;435;674;22
1048;Ленинский проспект-1;Leninskij prospekt-1;Leninskij prospekt-1;4;both;59.849839;30.267652;725;52;0;0;0;360;740;22
1049;Ленинский проспект-2;Leninskij prospekt-2;Leninskij prospekt-2;4;both;59.849847;30.269002;725;54;0;0;0;365;750;22
1050;Ленинский проспект-3;Leninskij prospekt-3;Leninskij prospekt-3;4;both;59.849546;30.269009;725;52;29;0;0;360;750;22
1051;Ленинский проспект-4;Leninskij prospekt-4;Leninskij prospekt-4;4;both;59.849575;30.267632;725;53;30;0;0;360;750;22
1052;Ленинский проспект-5;Leninskij prospekt-5;Leninskij prospekt-5;4;both;59.851692;30.269720;720;56;25;1;25;360;945;22
1053;Ленинский проспект-6;Leninskij prospekt-6;Leninskij prospekt-6;4;both;59.852051;30.269730;720;56;25;1;25;360;950;19
1054;Ленинский проспект-7;Leninskij prospekt-7;Leninskij prospekt-7;4;both;59.852065;30.267040;720;56;25;1;25;365;932;18
1055;Ленинский проспект-8;Leninskij prospekt-8;Leninskij prospekt-8;4;both;59.851685;30.267068;720;57;25;1;25;355;940;20
1060;Автово-1;Avtovo-1;Avtovo-1;5;both;59.867290;30.261131;885;73;62;0;0;362;958;26
1072;Кировский завод-1;Kirovskij zavod-1;Kirovskij zavod-1;6;in;59.879670;30.261549;860;7;0;0;0;364;750;20
1073;Кировский завод-2;Kirovskij zavod-2;Kirovskij zavod-2;6;out;59.879875;30.261726;860;7;0;0;0;364;750;20
1084;Нарвская-1;Narvskaja-1;Narvskaja-1;7;in;59.901113;30.274569;740;13;0;0;0;356;602;27
1085;Нарвская-2;Narvskaja-2;Narvskaja-2;7;out;59.901043;30.274756;920;19;6;0;0;356;608;27
1096;Балтийская-1;Baltijskaja-1;Baltijskaja-1;8;in;59.907443;30.299793;870;0;0;0;0;0;1000;8
1097;Балтийская-2;Baltijskaja-2;Baltijskaja-2;8;out;59.907103;30.299059;735;13;0;0;0;354;745;24
1108;Технологический институт 1-1;Tehnologicheskij institut 1-1;Tehnologicheskij institut 1-1;9;in;59.916366;30.318378;890;12;12;0;0;0;0;0
1110;Технологический институт 1-3;Tehnologicheskij institut 1-3;Tehnologicheskij institut 1-3;9;out;59.916381;30.318488;920;12;6;0;0;346;742;17
1120;Пушкинская-1;Pushkinskaja-1;Pushkinskaja-1;10;in;59.920427;30.330045;770;3;3;0;0;0;0;0
1121;Пушкинская-2;Pushkinskaja-2;Pushkinskaja-2;10;out;59.920717;30.329723;770;0;0;0;0;0;0;0
1132;Владимирская-1;Vladimirskaja-1;Vladimirskaja-1;11;in;59.927644;30.348033;750;24;0;0;0;360;747;29
1133;Владимирская-2;Vladimirskaja-2;Vladimirskaja-2;11;out;59.927660;30.348278;835;24;0;0;0;360;747;29
1144;Площадь Восстания-1;Ploshhad' Vosstanija-1;Ploshhad' Vosstanija-1;12;in;59.931570;30.360797;770;0;0;0;0;0;0;0
1145;Площадь Восстания-2;Ploshhad' Vosstanija-2;Ploshhad' Vosstanija-2;12;out;59.931677;30.360168;770;7;0;0;0;355;750;23
1146;Площадь Восстания-3;Ploshhad' Vosstanija-3;Ploshhad' Vosstanija-3;12;out;59.929792;30.360872;730;22;0;0;0;364;750;26
1147;Площадь Восстания-4;Ploshhad' Vosstanija-4;Ploshhad' Vosstanija-4;12;in;59.929281;30.360990;730;25;3;0;0;364;750;26
1148;Площадь Восстания-5;Ploshhad' Vosstanija-5;Ploshhad' Vosstanija-5;12;out;59.929804;30.361215;730;22;0;0;0;364;750;26
1149;Площадь Восстания-6;Ploshhad' Vosstanija-6;Ploshhad' Vosstanija-6;12;in;59.929386;30.362258;730;56;24;0;0;364;748;26
1156;Чернышевская-1;Chernyshevskaja-1;Chernyshevskaja-1;13;in;59.944505;30.359524;730;0;0;0;0;0;0;0
1157;Чернышевская-2;Chernyshevskaja-2;Chernyshevskaja-2;13;out;59.944680;30.359894;730;0;0;0;0;0;0;0
1168;Площадь Ленина-1;Ploshhad' Lenina-1;Ploshhad' Lenina-1;14;in;59.95558;30.355779;735;0;0;0;0;0;1000;4
1169;Площадь Ленина-2;Ploshhad' Lenina-2;Ploshhad' Lenina-2;14;out;59.955524;30.356151;735;0;0;0;0;0;1000;4
1170;Площадь Ленина-3;Ploshhad' Lenina-3;Ploshhad' Lenina-3;14;in;59.958631;30.354556;915;0;0;0;0;0;0;0
1171;Площадь Ленина-4;Ploshhad' Lenina-4;Ploshhad' Lenina-4;14;out;59.958539;30.355098;915;0;0;0;0;0;0;0
1180;Выборгская-1;Vyborgskaja-1;Vyborgskaja-1;15;both;59.971090;30.347597;735;24;0;0;0;353;742;24
