id_station;id_line;id_node;name_ru;name_en;name_pl;lat;lon
3;1;3;Проспект Ветеранов;Prospekt Veteranov;Prospekt Veteranov;59.841819;30.251917
4;1;4;Ленинский проспект;Leninsky prospekt;Leninsky prospekt;59.850640;30.268385
5;1;5;Автово;Avtovo;Avtovo;59.867304;30.261416
6;1;6;Кировский завод;Kirovsky zavod;Kirovsky zavod;59.879683;30.261972
7;1;7;Нарвская;Narvskaya;Narvskaya;59.901194;30.274938
8;1;8;Балтийская;Baltiyskaya;Baltiyskaya;59.907593;30.300785
9;1;9;Технологический институт 1;Tekhnologichesky institut 1;Tekhnologichesky institut 1;59.916042;30.318070
10;1;10;Пушкинская;Pushkinskaya;Pushkinskaya;59.920581;30.329933
11;1;11;Владимирская;Vladimirskaya;Vladimirskaya;59.927601;30.348098
12;1;12;Площадь Восстания;Ploschad Vosstaniya;Ploschad Vosstaniya;59.931592;30.360453
13;1;13;Чернышевская;Chernyshevskaya;Chernyshevskaya;59.944516;30.359937
14;1;14;Площадь Ленина;Ploschad Lenina;Ploschad Lenina;59.957278;30.355601
15;1;15;Выборгская;Vyborgskaya;Vyborgskaya;59.971031;30.347313
16;1;16;Лесная;Lesnaya;Lesnaya;59.984750;30.344206
17;1;17;Площадь Мужества;Ploschad Muzhestva;Ploschad Muzhestva;59.999603;30.366326
18;1;18;Политехническая;Politekhnicheskaya;Politekhnicheskaya;60.008937;30.370868
19;1;19;Академическая;Akademicheskaya;Akademicheskaya;60.012756;30.395920
20;1;20;Гражданский проспект;Grazhdansky prospekt;Grazhdansky prospekt;60.034951;30.418164
21;1;21;Девяткино;Devyatkino;Devyatkino;60.050692;30.442943
23;2;23;Купчино;Kupchino;Kupchino;59.829678;30.375457
24;2;24;Звёздная;Zvyozdnaya;Zvyozdnaya;59.833234;30.349505
25;2;25;Московская;Moskovskaya;Moskovskaya;59.851308;30.322265
26;2;26;Парк Победы;Park Pobedy;Park Pobedy;59.866431;30.321829
27;2;27;Электросила;Electrosila;Electrosila;59.879221;30.318654
28;2;28;Московские ворота;Moskovskie vorota;Moskovskie vorota;59.891724;30.317877
29;2;29;Фрунзенская;Frunzenskaya;Frunzenskaya;59.906259;30.317556
