id_from;id_to;name_from;name_to;cost
1;2;Ельшанка;ТЮЗ;180
2;3;ТЮЗ;Профсоюзная;180
3;4;Профсоюзная;Пионерская;150
4;5;Пионерская;Комсомольская;150
5;6;Комсомольская;Площадь Ленина;180
6;7;Площадь Ленина;ТРК Европа;180
7;8;ТРК Европа;Парк Культуры;60
8;9;Парк Культуры;Центральный стадион;120
9;10;Центральный стадион;Мамаев курган;60
10;11;Мамаев курган;Дворец спорта;120
11;12;Дворец спорта;Площадь Возрождения;60
12;13;Площадь Возрождения;Улица имени 39-й гвардейской дивизии;100
13;14;Улица имени 39-й гвардейской дивизии;Завод «Красный Октябрь»;120
14;15;Завод «Красный Октябрь»;Стадион «Монолит»;150
15;16;Стадион «Монолит»;14-я гимназия;60
16;17;14-я гимназия;Завод «Баррикады»;60
17;18;Завод «Баррикады»;Больница Ильича;120
18;19;Больница Ильича;Водоотстой;120
19;20;Водоотстой;Хлебозавод;120
20;21;Хлебозавод;Тракторный завод (ВГТЗ);120
22;4;Площадь Чекистов;Пионерская;60
