id_entrance;meetcode;name_ru;name_en;id_station;direction;lat;lon;max_width;min_step;min_step_ramp;lift;lift_minus_step;min_rail_width;max_rail_width;max_angle;escalator;time
100000;1;ул. Льва Толстого;ul. L. Tolstogo;1;in;48.68101459;44.47120475;760;40;40;0;0;0;0;0;0;100
100010;1;ул. Льва Толстого;ul. L. Tolstogo;1;out;48.68101459;44.47120475;760;42;42;0;0;0;0;0;0;102
100020;1;ТЮЗ;Youth Theatre ;2;both;48.69064196;44.48878587;760;67;30;0;0;370;990;20;0;127
100030;2;ул. Иркутская, ул. Козловская;ul. Irkutskaja, ul. Kozlovskaja;2;both;48.69048121;44.48850723;760;67;67;0;0;0;0;0;0;127
100040;3;ул. Краснослободская;ul. Krasnoslobodskaja;2;both;48.69034546;44.48900021;760;45;45;0;0;370;990;20;0;105
100050;4;ул. Иркутская, ул. Циолковского;ul. Irkutskaja, ul. Ciolkovskogo;2;both;48.69014898;44.48882159;760;45;45;0;0;370;990;20;0;105
100060;1;Макдональдс, ул. Профсоюзная;McDonalds, ul. Profsojuznaja;3;both;48.69719987;44.49968442;760;44;7;0;0;370;990;20;1;204
100070;2;ТЦ Ворошиловский, Рынок;"""Voroshilovskij"" shopping mall, Market";3;both;48.69692819;44.50018251;760;41;6;0;0;370;990;19;1;201
100080;1;ул. Краснознаменская, Сбербанк;ul. Krasnoznamenskaja, Sberbank;4;in;48.70323225;44.51016436;700;50;50;0;0;0;0;0;0;110
100090;1;ул. Краснознаменская, Сбербанк;ul. Krasnoznamenskaja, Sberbank;4;out;48.70323225;44.51016436;760;5;5;0;0;0;0;0;1;165
100100;1;ул. Симбирцева;ul. Simbirceva;5;in;48.70947594;44.5202003;760;66;66;0;0;0;0;0;0;126
100101;1;ул. Симбирцева;ul. Simbirceva;5;out;48.70947594;44.5202003;760;41;41;0;0;0;0;0;1;201
100110;2;ул. Соколова, ул. Советская;ul. Sokolova, ul. Sovetskaja;5;in;48.70923948;44.51982296;760;66;66;0;0;0;0;0;0;126
100111;2;ул. Соколова, ул. Советская;ul. Sokolova, ul. Sovetskaja;5;out;48.70923948;44.51982296;760;41;41;0;0;0;0;0;1;201
100120;3;Центральный рынок;Central market;5;in;48.70907345;44.52080907;760;62;62;0;0;0;0;0;0;122
100121;3;Центральный рынок;Central market;5;out;48.70907345;44.52080907;760;37;37;0;0;0;0;0;1;197
100130;4;Театр кукол;Teatr kukol;5;in;48.70882692;44.52042167;760;63;63;0;0;0;0;0;0;123
100131;4;Театр кукол;Teatr kukol;5;out;48.70882692;44.52042167;760;38;38;0;0;0;0;0;1;198
100140;1;ул. Наумова;ul. Naumova;6;in;48.71782114;44.53012373;760;68;68;0;0;0;0;0;0;128
100141;1;ул. Наумова;ul. Naumova;6;out;48.71782114;44.53012373;760;42;42;0;0;0;0;0;1;202
100150;2;Дом офицеров;Dom oficerov;6;in;48.71751045;44.52982093;760;68;68;0;0;0;0;0;0;128
100151;2;Дом офицеров;Dom oficerov;6;out;48.71751045;44.52982093;760;42;42;0;0;0;0;0;1;202
100160;3;Волгоградский технический колледж;Volgogradskij technical college;6;in;48.71765141;44.53067;760;65;65;0;0;0;0;0;0;125
100161;3;Волгоградский технический колледж;Volgogradskij technical college;6;out;48.71765141;44.53067;760;39;39;0;0;0;0;0;1;199
100170;4;Площадь Ленина, Дом Павлова;Lenina square, Dom Pavlova;6;in;48.7173764;44.5306359;760;67;67;0;0;0;0;0;0;127
100171;4;Площадь Ленина, Дом Павлова;Lenina square, Dom Pavlova;6;out;48.7173764;44.5306359;760;41;41;0;0;0;0;0;1;201
100180;1;ТРК Европа;"""Europa"" shopping mall";7;both;48.72678159;44.53807217;1000;0;0;0;0;0;0;0;0;60
100190;1;Парк Культуры;Park Kultury;8;both;48.72979352;44.53989425;1000;0;0;0;0;0;0;0;0;60
100200;1;Центральный стадион;Central stadium;9;both;48.73594908;44.54469533;1000;0;0;0;0;0;0;0;0;60
100210;1;Мамаев курган;Mamaev kurgan;10;both;48.7392881;44.54718258;1000;0;0;0;0;0;0;0;0;60
100220;1;Дворец спорта;Sport Palace;11;both;48.74637007;44.54899368;1000;0;0;0;0;0;0;0;0;60
100230;1;Площадь Возрождения;Vozrozhdenija square;12;both;48.75085502;44.54988936;1000;0;0;0;0;0;0;0;0;60
100240;1;Улица имени 39-й гвардейской дивизии;Ulica imeni 39 gvardejskoj divizii;13;both;48.75696887;44.55467945;1000;0;0;0;0;0;0;0;0;60
100250;1;Завод «Красный Октябрь»;«Krasnyj Oktjabr» plant;14;both;48.76305418;44.56015009;1000;0;0;0;0;0;0;0;0;60
100260;1;Стадион «Монолит»;Stadium «Monolit»;15;both;48.77086718;44.56753501;1000;0;0;0;0;0;0;0;0;60
100270;1;пр-т Ленина, ул. Хользунова;prospect Lenina, ul. Hol'zunova;16;both;48.77408558;44.57124484;1000;0;0;0;0;0;0;0;0;60
100280;2;пр-т Ленина;prospect Lenina;16;both;48.77392859;44.57103301;1000;1;1;0;0;0;0;0;0;61
100290;3;ул. Чистоозёрная, трамвайное кольцо;ul. Chistoozjornaja, tramway ring;16;both;48.77389833;44.57112758;1000;1;1;0;0;0;0;0;0;61
100300;4;ул. Чистоозёрная;ul. Chistoozjornaja;16;both;48.7737527;44.57093466;1000;1;1;0;0;0;0;0;0;61
100310;1;Завод «Баррикады»;«Barrikady» plant;17;both;48.77676809;44.57531068;1000;0;0;0;0;0;0;0;0;60
100320;1;"Стадион ""Зенит""";"Stadium ""Zenit""";18;both;48.78231594;44.58295054;1000;68;33;0;0;0;990;7;0;128
100330;2;Парк Гагарина, Больница;Park Gagarina, Hospital;18;both;48.78207667;44.58257455;1000;67;33;0;0;0;990;7;0;127
100340;3;"Автосалон, ж/д станция ""Тракторная-Товарная""";"Automobile sales centre, railway station ""Traktornaja-Tovarnaja""";18;both;48.78194483;44.58313121;1000;32;32;0;0;0;0;0;0;92
100350;4;пр-т Ленина;prospect Lenina;18;both;48.78169154;44.5825482;1000;0;0;0;0;0;0;0;0;60
100360;1;автостоянка;Car parking;19;both;48.7865218;44.59213156;1000;1;1;0;0;0;0;0;0;61
100370;2;"ж/д станция ""Тракторная-Товарная""";" railway station ""Traktornaja-Tovarnaja""";19;both;48.78643796;44.59200851;1000;0;0;0;0;0;0;0;0;60
100380;1;Тракторный завод (ВГТЗ);Traktornyj plant (VGTZ);20;both;48.79212498;44.59869534;1000;3;0;0;0;0;0;0;0;63
100390;2;ул. Тракторостроителей;ul. Traktorostroitelej;20;both;48.79192642;44.59855533;1000;0;0;0;0;0;0;0;0;60
100400;1;Тракторный завод (ВГТЗ);Traktornyj plant (VGTZ);21;both;48.79786472;44.60261995;1000;0;0;0;0;0;0;0;0;60
100410;1;Площадь Чекистов;Chekistov square;22;both;48.7019644;44.50492723;1000;36;0;0;0;400;700;16;0;96
