id_entrance;meetcode;name_ru;name_en;id_station;direction;lat;lon;max_width;min_step;min_step_ramp;lift;lift_minus_step;min_rail_width;max_rail_width;max_angle;escalator
40000;1;ул. 30 Пулку Стшелькув Канёвских, паркинг;ul. 30. Pułku Strzelków Kaniowskich, parking;1;in;52.29124348;20.9288525734;900;36;36;1;36;0;0;0;0
40010;1;ул. 30 Пулку Стшелькув Канёвских, паркинг;ul. 30. Pułku Strzelków Kaniowskich, parking;1;out;52.29124348;20.9288525734;900;0;0;1;0;0;0;0;0
40020;2;ул. Каспровича, ул. Ночницкего;ul. Kasprowicza, ul. Nocznickiego;1;in;52.2904370651;20.9306245642;900;36;36;1;36;0;0;0;0
40030;2;ул. Каспровича, ул. Ночницкего;ul. Kasprowicza, ul. Nocznickiego;1;out;52.2904370651;20.9306245642;900;0;0;1;0;0;0;0;0
40040;1;ул. Каспровича, ул. Вергилйюша;ul. Kasprowicza, ul. Wergiliusza;2;in;52.2868537492;20.938437704;900;34;34;1;34;0;0;0;0
40050;1;ул. Каспровича, ул. Вергилйюша;ul. Kasprowicza, ul. Wergiliusza;2;out;52.2868537492;20.938437704;900;0;0;1;0;0;0;0;0
40060;2;ул. Волюмен, ул. Линдего;ul. Wolumen, ul. Lindego;2;in;52.2858997789;20.9404989613;1000;31;31;0;0;0;0;0;0
40070;2;ул. Волюмен, ул. Линдего;ul. Wolumen, ul. Lindego;2;out;52.2858997789;20.9404989613;1000;0;0;0;0;0;0;0;1
40080;1;ул. Каспровича, ул. Клешевская;ul. Kasprowicza, ul. Kleszewska;3;both;52.2821964717;20.9485583071;1000;40;40;0;0;0;0;0;0
40090;2;ул. Каспровича, аллея Зьедноченя;ul. Kasprowicza, al. Zjednoczenia;3;in;52.2814601258;20.9501323582;900;39;39;1;39;0;0;0;0
40100;2;ул. Каспровича, аллея Зьедноченя;ul. Kasprowicza, al. Zjednoczenia;3;out;52.2814601258;20.9501323582;900;0;0;1;0;0;0;0;0
40110;1;ул. Каспровича, ул. Лесмяна;ul. Kasprowicza, ul. Leśmiana;4;in;52.2773559858;20.9590048593;1000;44;44;0;0;0;0;0;0
40120;1;ул. Каспровича, ул. Лесмяна;ul. Kasprowicza, ul. Leśmiana;4;out;52.2773559858;20.9590048593;1000;0;0;0;0;0;0;0;1
40130;3;ул. Жеромскего, ул. Каспровича;ul. Żeromskiego, ul. Kasprowicza;4;in;52.2763650876;20.9611859125;900;46;46;0;0;0;0;0;0
40140;3;ул. Жеромскего, ул. Каспровича;ul. Żeromskiego, ul. Kasprowicza;4;out;52.2763650876;20.9611859125;900;0;0;0;0;0;0;0;1
40141;2;ул. Каспровича, ул. Сахарова;ul. Kasprowicza, ul. Sacharowa;4;in;52.2765143246;20.960822063;900;46;46;1;46;0;0;0;0
40142;2;ул. Каспровича, ул. Сахарова;ul. Kasprowicza, ul. Sacharowa;4;out;52.2765143246;20.960822063;900;0;0;1;0;0;0;0;0
40160;1;ул. Влёсьцяньская, базар;ul. Wlościańska, bazar;5;both;52.2718867967;20.9708648544;900;0;0;1;0;0;0;0;0
40170;6;ул. Словацкего, ул. Кс. Й. Попелушки;ul. Słowackiego, ul. Ks. J. Popiełuszki;5;both;52.2714038648;20.972998313;900;79;79;1;79;0;0;0;0
40180;2;Халя  Марымонцкая, автобус к Центрум;Hala  Marymoncka, autobus kierunek Centrum;5;both;52.2715872567;20.9724542505;900;78;78;1;78;0;0;0;0
40190;3;ул. Словацкего, автобус к Беляны;ul. Słowackiego, autobus kierunek Bielany;5;both;52.2718929098;20.9726987729;900;78;78;1;52;0;0;0;0
40200;4;ул. Словацкего, трамвай к Центрум - Воля - Прага;ul. Słowackiego, tramwaj kierunek Centrum - Wola - Praga;5;both;52.2719662665;20.9727476774;900;78;78;1;52;0;0;0;0
40210;5;парк Каскада, трамвай к Беляны - Хута;park Kaskada, tramwaj kierunek Bielany - Huta;5;both;52.27211298;20.9728271472;900;78;52;1;52;430;760;20;0
40220;7;ул. Словацкего;ul. Słowackiego;5;both;52.2718256661;20.972998313;900;78;78;1;52;0;0;0;0
40230;8;ул. Словацкего, трамвай к Центрум - Воля - Прага;ul. Słowackiego, tramwaj kierunek Centrum - Wola - Praga;5;both;52.2718929098;20.9730472175;900;78;78;1;52;0;0;0;0
40240;9;ул. Гданьская, трамвай к Беляны - Хута;ul. Gdańska, tramwaj kierunek Bielany - Huta;5;both;52.2720518494;20.9731266873;900;78;78;2;78;0;0;0;0
40250;2;ул. Словацкего, трамвай к Центрум;ul. Słowackiego, tramwaj kierunek Centrum;6;in;52.2695289383;20.9834159536;900;65;65;1;65;0;0;0;0
40260;2;ул. Словацкего, трамвай к Центрум;ul. Słowackiego, tramwaj kierunek Centrum;6;out;52.2695289383;20.9834159536;900;38;38;1;38;0;0;0;0
40270;1;ул. Словацкего, ул. Филярецкая;ul. Słowackiego, ul. Filarecka;6;in;52.2693812984;20.983392642;900;62;62;2;62;0;0;0;0
40280;1;ул. Словацкего, ул. Филярецкая;ul. Słowackiego, ul. Filarecka;6;out;52.2693812984;20.983392642;900;35;35;2;35;0;0;0;0
40290;3;ул. Словацкего, ул. Контова;ul. Słowackiego, ul. Kątowa;6;in;52.2696843487;20.9832838547;900;66;66;2;66;0;0;0;0
40300;3;ул. Словацкего, ул. Контова;ul. Słowackiego, ul. Kątowa;6;out;52.2696843487;20.9832838547;900;39;39;2;39;0;0;0;0
40310;4;пл. Вильсона, ул. Красиньскего;pl. Wilsona, ul. Krasińskiego;6;in;52.2687518862;20.9851720913;900;65;65;2;65;0;0;0;0
40320;4;пл. Вильсона, ул. Красиньскего;pl. Wilsona, ul. Krasińskiego;6;out;52.2687518862;20.9851720913;900;0;0;2;0;0;0;0;0
40330;7;пл. Вильсона, ул. Мицкевича;pl. Wilsona, ul. Mickiewicza;6;in;52.2693657574;20.9856072405;900;65;65;2;65;0;0;0;0
40340;7;пл. Вильсона, ул. Мицкевича;pl. Wilsona, ul. Mickiewicza;6;out;52.2693657574;20.9856072405;900;0;0;2;0;0;0;0;0
40350;6;ул. Словацкего, трамвай к Беляны;ul. Słowackiego, tramwaj kierunek Bielany;6;in;52.2692958227;20.9850866156;900;65;65;1;27;0;0;0;0
40360;6;ул. Словацкего, трамвай к Беляны;ul. Słowackiego, tramwaj kierunek Bielany;6;out;52.2692958227;20.9850866156;900;38;38;1;0;0;0;0;1
40370;5;ул. Словацкего, трамвай к Центрум;ul. Słowackiego, tramwaj kierunek Centrum;6;in;52.269210347;20.9850322219;900;66;66;2;66;0;0;0;0
40380;5;ул. Словацкего, трамвай к Центрум;ul. Słowackiego, tramwaj kierunek Centrum;6;out;52.269210347;20.9850322219;900;39;39;2;39;0;0;0;0
40390;9;ул. Мицкевича, ж/д вокзал Варшава Гданьская;ul. Mickiewicza, Warszawa Gdańska PKP;7;in;52.2582693211;20.9945330545;900;73;73;1;73;0;0;0;0
40400;9;ул. Мицкевича, ж/д вокзал Варшава Гданьская;ul. Mickiewicza, Warszawa Gdańska PKP;7;out;52.2582693211;20.9945330545;900;0;0;1;0;0;0;0;0
40401;5;ж/д вокзал Варшава Гданьская;Warszawa Gdańska PKP;7;in;52.258676264;20.9943066753;900;86;80;2;80;0;1000;5;0
40402;5;ж/д вокзал Варшава Гданьская;Warszawa Gdańska PKP;7;out;52.258676264;20.9943066753;900;48;42;2;42;0;1000;5;0
40403;4;ж/д вокзал Варшава Гданьская, перрон 2;Warszawa Gdańska PKP, peron 2;7;in;52.2589136131;20.9932212371;900;82;76;2;76;0;1000;5;0
