factor,type,value
totalElements,nodeInfo,4184
totalRoutesIn,targetInfo,924
totalRoutesOut,targetInfo,920
totalTransfers,targetInfo,94
totalNodesWithTransfers,targetInfo,30
totalLifts,nodeInfo,67
totalHallLevelLifts,otherInfo,56
totalTrainLevelLifts,otherInfo,27
totalSurfaceLevelLifts,otherInfo,49
totalNodesWithLifts,nodeInfo,24
totalNodesWithHallLevelLifts,otherInfo,18
totalNodesWithTrainLevelLifts,otherInfo,21
totalNodesWithSurfaceLevelLifts,otherInfo,22
totalPanduses,nodeInfo,110
totalPandusesAvailable,nodeInfo,52
totalNodesWithPanduses,nodeInfo,51
totalNodesWithPandusesAvailable,nodeInfo,20
totalNodesWithStairway,nodeInfo,108
totalCoupleStairs,nodeInfo,453
totalStationsWithWheelchairFriendlyRoutes,targetAccess,17
totalWheelchairFriendlyRoutes,targetAccess,60
totalStationsWithHandicappedFriendlyRoutes,targetAccess,74
totalHandicappedFriendlyRoutes,targetAccess,221
totalStationsWithLuggageFriendlyRoutes,targetAccess,132
totalLuggageFriendlyRoutes,targetAccess,527
