nodeId,nodeName,totalElements,stairwaysAmount,stairway,minStairwayWidth,maxStairwayWidth,doorsAmount,minDoorWidth,maxDoorWidth,tapersAmount,minTaperWidth,maxTaperWidth,doorsAndTapersAmount,minDoorAndTaperWidth,maxDoorAndTaperWidth,turnstilesAmount,minturnstileWidth,maxturnstileWidth,liftAmount,lift,surfaceLevelLiftsAmount,hallLevelLiftsAmount,trainLevelLiftsAmount,surfaceLevelLifts,hallLevelLifts,trainLevelLifts,minLiftWidth,maxLiftWidth,pandusAmount,pandus,pandusAvailableAmount,pandusAvailable,pandusRailing,pandusMinSlope,pandusMaxSlope,stairsAmount,stairs,coupleStairsAmount,coupleStairs,stairsLength,railsStairsAmount,rails,railsStairsLength,minRailsWidth,maxRailsWidth,minRailsSlope,maxRailsSlope,railingAmount,noRailing,noRailingAmount,railingStairsLength,noRailingStairsLength
1,Пятницкое шоссе,43,1,1,950.0,950.0,18,900.0,960.0,0,,,18,900.0,960.0,4,800.0,850.0,4,1,3,4,1,1,1,1,900.0,900.0,6,1,6.0,1,2,3.0,9.0,10,1,3.0,1,186,3,1,105,400.0,900.0,36.0,38.0,7,1,3,183,3
2,Митино,43,0,0,,,10,800.0,900.0,8,920.0,930.0,18,800.0,930.0,4,800.0,800.0,4,1,3,4,1,1,1,1,900.0,900.0,3,1,3.0,1,0,9.0,9.0,14,1,0.0,0,399,9,1,252,400.0,900.0,31.0,38.0,14,0,0,399,0
3,Волоколамская,13,2,1,950.0,950.0,3,820.0,820.0,3,900.0,900.0,6,820.0,900.0,3,800.0,800.0,1,1,1,0,1,1,0,1,900.0,900.0,1,1,1.0,1,0,3.0,3.0,0,0,,0,0,0,0,0,,,,,0,0,0,0,0
4,Мякинино,21,0,0,,,4,850.0,980.0,1,920.0,920.0,5,850.0,980.0,2,800.0,800.0,0,0,0,0,0,0,0,0,,,2,1,0.0,0,1,5.0,14.0,12,1,0.0,0,285,11,1,282,400.0,950.0,32.0,42.0,11,1,1,283,2
5,Строгино,45,1,1,950.0,950.0,4,850.0,850.0,12,850.0,920.0,16,850.0,920.0,4,800.0,800.0,1,1,0,1,1,0,1,1,900.0,900.0,6,1,0.0,0,6,9.0,9.0,17,1,6.0,1,341,0,0,0,,,,,11,1,6,335,6
6,Крылатское,23,2,1,950.0,950.0,4,740.0,740.0,4,830.0,830.0,8,740.0,830.0,2,780.0,800.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,11,1,1.0,1,340,6,1,199,350.0,900.0,27.0,42.0,10,1,1,336,4
7,Молодежная,15,2,1,950.0,950.0,4,730.0,730.0,4,850.0,850.0,8,730.0,850.0,3,800.0,800.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,2,1,0.0,0,90,0,0,0,,,,,2,0,0,90,0
8,Кунцевская,43,0,0,,,13,730.0,1460.0,8,850.0,850.0,21,730.0,1460.0,7,550.0,800.0,2,1,2,0,2,1,0,1,,,1,1,1.0,1,1,9.0,9.0,12,1,4.0,1,257,0,0,0,,,,,10,1,2,253,4
9,Славянский бульвар,28,1,1,950.0,950.0,11,730.0,900.0,3,850.0,930.0,14,730.0,930.0,3,800.0,1000.0,3,1,2,3,1,1,1,1,900.0,900.0,0,0,,0,0,,,7,1,1.0,1,189,5,1,163,270.0,900.0,29.0,38.0,6,1,1,188,1
10,Парк Победы,20,2,1,1000.0,1000.0,1,740.0,740.0,2,800.0,800.0,3,740.0,800.0,1,780.0,780.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,14,1,0.0,0,292,6,1,102,260.0,1280.0,29.0,45.0,12,1,2,284,8
11,Киевская,45,4,1,950.0,1000.0,5,740.0,740.0,5,820.0,850.0,10,740.0,850.0,6,800.0,900.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,25,1,2.0,1,457,4,1,102,300.0,980.0,32.0,47.0,18,1,7,333,124
12,Смоленская,6,1,1,950.0,950.0,2,750.0,750.0,2,870.0,870.0,4,750.0,870.0,1,800.0,800.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,0,0,,0,0,0,0,0,,,,,0,0,0,0,0
13,Арбатская - Александровский сад - Библиотека им. Ленина - Боровицкая,62,5,1,900.0,950.0,8,730.0,800.0,4,835.0,840.0,12,730.0,840.0,5,550.0,900.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,40,1,3.0,1,659,5,1,87,310.0,940.0,32.0,42.0,33,1,7,619,40
14,Площадь Революции - Театральная - Охотный ряд,78,9,1,900.0,950.0,19,700.0,800.0,6,835.0,835.0,25,700.0,835.0,6,540.0,800.0,0,0,0,0,0,0,0,0,,,1,1,0.0,0,0,11.0,11.0,37,1,9.0,1,565,2,1,50,415.0,815.0,42.0,47.0,21,1,16,489,76
15,Курская - Чкаловская,35,6,1,900.0,900.0,7,720.0,820.0,4,835.0,840.0,11,720.0,840.0,5,600.0,800.0,0,0,0,0,0,0,0,0,,,1,1,0.0,0,0,12.0,12.0,12,1,0.0,0,301,2,1,45,310.0,760.0,38.0,42.0,11,1,1,288,13
16,Бауманская,6,1,1,1000.0,1000.0,2,710.0,720.0,2,810.0,820.0,4,710.0,820.0,1,560.0,560.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,0,0,,0,0,0,0,0,,,,,0,0,0,0,0
17,Электрозаводская,8,1,1,940.0,940.0,2,720.0,730.0,2,890.0,890.0,4,720.0,890.0,1,780.0,780.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,2,1,2.0,1,2,0,0,0,,,,,2,0,0,2,0
18,Семеновская,7,1,1,900.0,900.0,2,680.0,840.0,2,780.0,960.0,4,680.0,960.0,2,690.0,750.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,0,0,,0,0,0,0,0,,,,,0,0,0,0,0
19,Партизанская,10,0,0,,,2,710.0,710.0,2,820.0,820.0,4,710.0,820.0,2,550.0,950.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,4,1,0.0,0,132,0,0,0,,,,,4,0,0,132,0
20,Измайловская,22,0,0,,,6,710.0,710.0,2,820.0,830.0,8,710.0,830.0,4,530.0,560.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,10,1,0.0,0,147,4,1,50,160.0,840.0,45.0,47.0,10,0,0,147,0
21,Первомайская,19,0,0,,,4,700.0,710.0,5,820.0,830.0,9,700.0,830.0,4,520.0,560.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,6,1,0.0,0,163,3,1,86,300.0,810.0,47.0,47.0,6,0,0,163,0
